Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Mon Jun 19 2023 17:25:14,143.3427,4107,string,4096
Mon Jun 19 2023 17:25:14,141.8112,16398,string,16384
Mon Jun 19 2023 17:25:14,211.0990,65550,string,65536
Mon Jun 19 2023 17:25:14,283.5907,262158,string,262144
Mon Jun 19 2023 17:25:15,310.4104,1048832,string,1048576
Mon Jun 19 2023 17:25:15,425.6436,4195305,string,4194304
Mon Jun 19 2023 17:25:16,963.0630,16781194,string,16777216
Mon Jun 19 2023 17:25:58,142.9042,4107,string,4096
Mon Jun 19 2023 17:25:58,147.8024,16398,string,16384
Mon Jun 19 2023 17:25:58,140.8853,65550,string,65536
Mon Jun 19 2023 17:25:59,144.4079,262158,string,262144
Mon Jun 19 2023 17:25:59,304.2088,1048832,string,1048576
Mon Jun 19 2023 17:25:59,444.5053,4195305,string,4194304
Mon Jun 19 2023 17:26:01,1315.6357,16781194,string,16777216
Mon Jun 19 2023 17:26:12,158.7899,4107,string,4096
Mon Jun 19 2023 17:26:12,138.3956,16398,string,16384
Mon Jun 19 2023 17:26:12,147.0056,65550,string,65536
Mon Jun 19 2023 17:26:13,153.5206,262158,string,262144
Mon Jun 19 2023 17:26:13,173.1181,1048832,string,1048576
Mon Jun 19 2023 17:26:13,346.4333,4195305,string,4194304
Mon Jun 19 2023 17:26:14,1150.3041,16781194,string,16777216
Mon Jun 19 2023 17:26:55,148.3692,4107,string,4096
Mon Jun 19 2023 17:26:55,158.6587,16398,string,16384
Mon Jun 19 2023 17:26:56,187.9082,65550,string,65536
Mon Jun 19 2023 17:26:56,172.4514,262158,string,262144
Mon Jun 19 2023 17:26:56,181.6400,1048832,string,1048576
Mon Jun 19 2023 17:26:56,450.8716,4195305,string,4194304
Mon Jun 19 2023 17:26:58,1570.4385,16781194,string,16777216
Mon Jun 19 2023 17:27:10,150.5180,4107,string,4096
Mon Jun 19 2023 17:27:10,144.7013,16398,string,16384
Mon Jun 19 2023 17:27:10,147.5012,65550,string,65536
Mon Jun 19 2023 17:27:10,167.1704,262158,string,262144
Mon Jun 19 2023 17:27:10,172.9203,1048832,string,1048576
Mon Jun 19 2023 17:27:11,341.2155,4195305,string,4194304
Mon Jun 19 2023 17:27:12,1097.3791,16781194,string,16777216
Mon Jun 19 2023 17:27:52,147.0710,4107,string,4096
Mon Jun 19 2023 17:27:52,161.3747,16398,string,16384
Mon Jun 19 2023 17:27:52,191.1019,65550,string,65536
Mon Jun 19 2023 17:27:52,150.2570,262158,string,262144
Mon Jun 19 2023 17:27:52,167.4353,1048832,string,1048576
Mon Jun 19 2023 17:27:53,611.4630,4195305,string,4194304
Mon Jun 19 2023 17:27:54,1319.0210,16781194,string,16777216
Mon Jun 19 2023 17:28:06,149.8931,4107,string,4096
Mon Jun 19 2023 17:28:07,143.8033,16398,string,16384
Mon Jun 19 2023 17:28:07,146.3997,65550,string,65536
Mon Jun 19 2023 17:28:07,157.8279,262158,string,262144
Mon Jun 19 2023 17:28:07,178.9616,1048832,string,1048576
Mon Jun 19 2023 17:28:07,364.6972,4195305,string,4194304
Mon Jun 19 2023 17:28:09,1092.5119,16781194,string,16777216
Mon Jun 19 2023 17:28:53,141.3121,4107,string,4096
Mon Jun 19 2023 17:28:53,135.5732,16398,string,16384
Mon Jun 19 2023 17:28:54,170.8638,65550,string,65536
Mon Jun 19 2023 17:28:54,266.5983,262158,string,262144
Mon Jun 19 2023 17:28:54,313.4460,1048832,string,1048576
Mon Jun 19 2023 17:28:55,459.8403,4195305,string,4194304
Mon Jun 19 2023 17:28:56,1569.0668,16781194,string,16777216
Tue Jun 20 2023 22:59:53,280.2157,4107,string,4096
Tue Jun 20 2023 22:59:53,138.0551,16398,string,16384
Tue Jun 20 2023 22:59:53,206.4335,65550,string,65536
