Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Mon Jun 19 2023 18:25:14,259.5569,4107,string,4096
Mon Jun 19 2023 18:25:14,165.4508,16398,string,16384
Mon Jun 19 2023 18:25:14,212.2001,65550,string,65536
Mon Jun 19 2023 18:25:15,186.3947,262158,string,262144
Mon Jun 19 2023 18:25:15,554.4122,1048832,string,1048576
Mon Jun 19 2023 18:25:17,1810.5235,4195305,string,4194304
Mon Jun 19 2023 18:25:24,7389.8615,16781194,string,16777216
Mon Jun 19 2023 18:25:33,290.6003,4107,string,4096
Mon Jun 19 2023 18:25:35,1439.6580,16398,string,16384
Mon Jun 19 2023 18:25:35,243.4701,65550,string,65536
Mon Jun 19 2023 18:25:35,203.1333,262158,string,262144
Mon Jun 19 2023 18:25:36,506.2240,1048832,string,1048576
Mon Jun 19 2023 18:25:37,1523.7660,4195305,string,4194304
Mon Jun 19 2023 18:25:46,8406.3024,16781194,string,16777216
Mon Jun 19 2023 18:26:12,233.2432,4107,string,4096
Mon Jun 19 2023 18:26:13,217.2136,16398,string,16384
Mon Jun 19 2023 18:26:13,293.9852,65550,string,65536
Mon Jun 19 2023 18:26:13,157.9094,262158,string,262144
Mon Jun 19 2023 18:26:14,653.0348,1048832,string,1048576
Mon Jun 19 2023 18:26:15,1448.1709,4195305,string,4194304
Mon Jun 19 2023 18:26:22,6877.2534,16781194,string,16777216
Mon Jun 19 2023 18:26:31,296.7381,4107,string,4096
Mon Jun 19 2023 18:26:32,349.0633,16398,string,16384
Mon Jun 19 2023 18:26:32,158.9869,65550,string,65536
Mon Jun 19 2023 18:26:32,274.7572,262158,string,262144
Mon Jun 19 2023 18:26:33,551.5628,1048832,string,1048576
Mon Jun 19 2023 18:26:35,1945.9355,4195305,string,4194304
Mon Jun 19 2023 18:26:42,7512.0162,16781194,string,16777216
Mon Jun 19 2023 18:27:10,402.2383,4107,string,4096
Mon Jun 19 2023 18:27:10,235.3815,16398,string,16384
Mon Jun 19 2023 18:27:10,149.1163,65550,string,65536
Mon Jun 19 2023 18:27:11,277.0686,262158,string,262144
Mon Jun 19 2023 18:27:11,496.4911,1048832,string,1048576
Mon Jun 19 2023 18:27:13,1722.3012,4195305,string,4194304
Mon Jun 19 2023 18:27:20,6889.4574,16781194,string,16777216
Mon Jun 19 2023 18:27:29,359.1628,4107,string,4096
Mon Jun 19 2023 18:27:29,160.6685,16398,string,16384
Mon Jun 19 2023 18:27:29,321.6440,65550,string,65536
Mon Jun 19 2023 18:27:30,256.0299,262158,string,262144
Mon Jun 19 2023 18:27:30,743.7810,1048832,string,1048576
Mon Jun 19 2023 18:27:33,2389.9161,4195305,string,4194304
Mon Jun 19 2023 18:27:40,6757.1372,16781194,string,16777216
Mon Jun 19 2023 18:28:07,320.5790,4107,string,4096
Mon Jun 19 2023 18:28:07,221.5336,16398,string,16384
Mon Jun 19 2023 18:28:07,231.7186,65550,string,65536
Mon Jun 19 2023 18:28:07,158.9261,262158,string,262144
Mon Jun 19 2023 18:28:08,609.3130,1048832,string,1048576
Mon Jun 19 2023 18:28:10,2308.9078,4195305,string,4194304
Mon Jun 19 2023 18:28:17,6999.8926,16781194,string,16777216
Mon Jun 19 2023 18:28:26,342.8048,4107,string,4096
Mon Jun 19 2023 18:28:26,288.2296,16398,string,16384
Mon Jun 19 2023 18:28:27,133.6817,65550,string,65536
Mon Jun 19 2023 18:28:27,166.9922,262158,string,262144
Mon Jun 19 2023 18:28:28,779.5003,1048832,string,1048576
Mon Jun 19 2023 18:28:31,2929.0293,4195305,string,4194304
Mon Jun 19 2023 18:28:41,9941.5897,16781194,string,16777216
Tue Jun 20 2023 23:59:33,425.6213,4107,string,4096
Tue Jun 20 2023 23:59:33,157.5349,16398,string,16384
Tue Jun 20 2023 23:59:34,221.6925,65550,string,65536
Tue Jun 20 2023 23:59:34,321.6636,262158,string,262144
Tue Jun 20 2023 23:59:34,529.1300,1048832,string,1048576
Tue Jun 20 2023 23:59:36,1465.7426,4195305,string,4194304
Tue Jun 20 2023 23:59:41,4705.7042,16781194,string,16777216
Wed Jun 21 2023 00:00:02,153.1317,4107,string,4096
Wed Jun 21 2023 00:00:02,167.7479,16398,string,16384
Wed Jun 21 2023 00:00:02,151.0820,65550,string,65536
Wed Jun 21 2023 00:00:02,188.6698,262158,string,262144
Wed Jun 21 2023 00:00:03,436.4644,1048832,string,1048576
Wed Jun 21 2023 00:00:04,1299.0253,4195305,string,4194304
Wed Jun 21 2023 00:00:08,4336.9580,16781194,string,16777216
Wed Jun 21 2023 00:00:22,311.6834,4107,string,4096
Wed Jun 21 2023 00:00:23,147.5148,16398,string,16384
Wed Jun 21 2023 00:00:23,205.9774,65550,string,65536
Wed Jun 21 2023 00:00:23,120.3944,262158,string,262144
Wed Jun 21 2023 00:00:23,393.1021,1048832,string,1048576
Wed Jun 21 2023 00:00:24,1180.8267,4195305,string,4194304
Wed Jun 21 2023 00:00:31,6362.6729,16781194,string,16777216
Wed Jun 21 2023 00:00:51,1040.0434,4107,string,4096
Wed Jun 21 2023 00:00:51,149.3866,16398,string,16384
Wed Jun 21 2023 00:00:51,160.2000,65550,string,65536
Wed Jun 21 2023 00:00:51,355.0998,262158,string,262144
Wed Jun 21 2023 00:00:52,436.4252,1048832,string,1048576
Wed Jun 21 2023 00:00:53,1415.4766,4195305,string,4194304
Wed Jun 21 2023 00:00:58,4825.5925,16781194,string,16777216
Wed Jun 21 2023 00:01:12,519.6930,4107,string,4096
Wed Jun 21 2023 00:01:12,170.5072,16398,string,16384
Wed Jun 21 2023 00:01:12,174.5447,65550,string,65536
Wed Jun 21 2023 00:01:12,188.3379,262158,string,262144
Wed Jun 21 2023 00:01:13,349.0310,1048832,string,1048576
Wed Jun 21 2023 00:01:13,662.7175,4195305,string,4194304
Wed Jun 21 2023 00:01:16,2815.7918,16781194,string,16777216
Wed Jun 21 2023 00:01:32,189.6145,4107,string,4096
Wed Jun 21 2023 00:01:32,210.1998,16398,string,16384
Wed Jun 21 2023 00:01:32,169.7552,65550,string,65536
Wed Jun 21 2023 00:01:33,185.5784,262158,string,262144
Wed Jun 21 2023 00:01:33,433.6365,1048832,string,1048576
Wed Jun 21 2023 00:01:35,1454.3725,4195305,string,4194304
Wed Jun 21 2023 00:01:39,4269.6347,16781194,string,16777216
Wed Jun 21 2023 00:01:53,515.9660,4107,string,4096
Wed Jun 21 2023 00:01:53,165.2911,16398,string,16384
Wed Jun 21 2023 00:01:53,126.5442,65550,string,65536
Wed Jun 21 2023 00:01:53,238.8990,262158,string,262144
Wed Jun 21 2023 00:01:54,429.0414,1048832,string,1048576
Wed Jun 21 2023 00:01:55,1291.1337,4195305,string,4194304
Wed Jun 21 2023 00:02:00,5232.0783,16781194,string,16777216
Wed Jun 21 2023 00:02:21,126.7627,4107,string,4096
Wed Jun 21 2023 00:02:21,153.4685,16398,string,16384
Wed Jun 21 2023 00:02:21,146.2020,65550,string,65536
Wed Jun 21 2023 00:02:21,149.1751,262158,string,262144
Wed Jun 21 2023 00:02:22,433.1261,1048832,string,1048576
Wed Jun 21 2023 00:02:25,2959.5396,4195305,string,4194304
Wed Jun 21 2023 00:02:30,5154.7559,16781194,string,16777216
