index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
0,Mon Jun 19 2023 18:25:33,305.9461,4107.0,string,4096
7,Mon Jun 19 2023 18:25:58,66.86,4107.0,string,4096
14,Mon Jun 19 2023 18:26:31,249.9648,4107.0,string,4096
21,Mon Jun 19 2023 18:26:55,102.2284,4107.0,string,4096
28,Mon Jun 19 2023 18:27:29,193.0053,4107.0,string,4096
35,Mon Jun 19 2023 18:27:51,84.3656,4107.0,string,4096
42,Mon Jun 19 2023 18:28:26,230.0649,4107.0,string,4096
49,Mon Jun 19 2023 18:28:53,100.2003,4107.0,string,4096
56,Tue Jun 20 2023 23:59:33,295.7823,4107.0,string,4096
63,Tue Jun 20 2023 23:59:52,204.8011,4107.0,string,4096
70,Wed Jun 21 2023 00:00:22,226.0336,4107.0,string,4096
77,Wed Jun 21 2023 00:00:41,101.1247,4107.0,string,4096
84,Wed Jun 21 2023 00:01:12,455.6736,4107.0,string,4096
91,Wed Jun 21 2023 00:01:23,71.7248,4107.0,string,4096
98,Wed Jun 21 2023 00:01:53,408.436,4107.0,string,4096
105,Wed Jun 21 2023 00:02:12,98.9662,4107.0,string,4096
112,Mon Jun 19 2023 17:25:14,143.3427,4107.0,string,4096
119,Mon Jun 19 2023 17:25:58,142.9042,4107.0,string,4096
126,Mon Jun 19 2023 17:26:12,158.7899,4107.0,string,4096
133,Mon Jun 19 2023 17:26:55,148.3692,4107.0,string,4096
140,Mon Jun 19 2023 17:27:10,150.518,4107.0,string,4096
147,Mon Jun 19 2023 17:27:52,147.071,4107.0,string,4096
154,Mon Jun 19 2023 17:28:06,149.8931,4107.0,string,4096
161,Mon Jun 19 2023 17:28:53,141.3121,4107.0,string,4096
168,Tue Jun 20 2023 22:59:53,280.2157,4107.0,string,4096
175,Tue Jun 20 2023 23:00:02,140.1902,4107.0,string,4096
182,Tue Jun 20 2023 23:00:41,188.3782,4107.0,string,4096
189,Tue Jun 20 2023 23:00:50,161.3164,4107.0,string,4096
196,Tue Jun 20 2023 23:01:23,158.9095,4107.0,string,4096
203,Tue Jun 20 2023 23:01:32,142.9816,4107.0,string,4096
210,Tue Jun 20 2023 23:02:12,151.9172,4107.0,string,4096
217,Tue Jun 20 2023 23:02:21,139.7301,4107.0,string,4096
224,Mon Jun 19 2023 18:25:14,259.5569,4107.0,string,4096
231,Mon Jun 19 2023 18:25:33,290.6003,4107.0,string,4096
238,Mon Jun 19 2023 18:26:12,233.2432,4107.0,string,4096
245,Mon Jun 19 2023 18:26:31,296.7381,4107.0,string,4096
252,Mon Jun 19 2023 18:27:10,402.2383,4107.0,string,4096
259,Mon Jun 19 2023 18:27:29,359.1628,4107.0,string,4096
266,Mon Jun 19 2023 18:28:07,320.579,4107.0,string,4096
273,Mon Jun 19 2023 18:28:26,342.8048,4107.0,string,4096
280,Tue Jun 20 2023 23:59:33,425.6213,4107.0,string,4096
287,Wed Jun 21 2023 00:00:02,153.1317,4107.0,string,4096
294,Wed Jun 21 2023 00:00:22,311.6834,4107.0,string,4096
308,Wed Jun 21 2023 00:01:12,519.693,4107.0,string,4096
315,Wed Jun 21 2023 00:01:32,189.6145,4107.0,string,4096
322,Wed Jun 21 2023 00:01:53,515.966,4107.0,string,4096
329,Wed Jun 21 2023 00:02:21,126.7627,4107.0,string,4096
336,Mon Jun 19 2023 18:29:36,502.4767,4107.0,string,4096
343,Mon Jun 19 2023 18:32:23,95.9562,4107.0,string,4096
350,Mon Jun 19 2023 18:34:36,175.7415,4107.0,string,4096
357,Mon Jun 19 2023 18:38:28,291.7453,4107.0,string,4096
364,Mon Jun 19 2023 18:41:20,149.6672,4107.0,string,4096
392,Wed Jun 21 2023 00:02:44,211.0229,4107.0,string,4096
399,Wed Jun 21 2023 00:05:40,93.6892,4107.0,string,4096
406,Wed Jun 21 2023 00:18:10,236.9024,4107.0,string,4096
413,Wed Jun 21 2023 00:21:06,77.3406,4107.0,string,4096
420,Wed Jun 21 2023 00:25:40,254.4379,4107.0,string,4096
427,Wed Jun 21 2023 00:28:34,142.1693,4107.0,string,4096
