index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
301,Wed Jun 21 2023 00:00:51,1040.0434,4107.0,string,4096
371,Mon Jun 19 2023 18:46:31,1205.728,4107.0,string,4096
378,Mon Jun 19 2023 18:48:15,7029.7075,4107.0,string,4096
385,Mon Jun 19 2023 18:51:51,1268.4221,4107.0,string,4096
483,Mon Jun 19 2023 17:46:31,1268.8551,4107.0,string,4096
497,Mon Jun 19 2023 17:51:51,1370.2596,4107.0,string,4096
539,Tue Jun 20 2023 23:36:01,15477.9499,4107.0,string,4096
623,Wed Jun 21 2023 00:15:49,1496.5802,4107.0,string,4096
791,Mon Jun 19 2023 18:31:25,1601.6657,4107.0,string,4096
1015,Mon Jun 19 2023 19:01:27,1103.6681,4107.0,string,4096
1043,Mon Jun 19 2023 19:17:59,1069.0263,4107.0,string,4096
1057,Mon Jun 19 2023 19:27:00,3102.023,4107.0,string,4096
1071,Wed Jun 21 2023 00:51:56,13927.6691,4107.0,string,4096
1085,Wed Jun 21 2023 01:12:40,1705.1121,4107.0,string,4096
1099,Wed Jun 21 2023 01:38:03,1737.5138,4107.0,string,4096
1127,Mon Jun 19 2023 18:01:28,1592.2367,4107.0,string,4096
1141,Mon Jun 19 2023 18:09:37,1381.6097,4107.0,string,4096
1169,Mon Jun 19 2023 18:27:00,3180.6662,4107.0,string,4096
1176,Tue Jun 20 2023 23:51:56,14002.9318,4107.0,string,4096
1239,Mon Jun 19 2023 18:55:18,1072.5496,4107.0,string,4096
1323,Wed Jun 21 2023 01:47:32,2558.9347,4107.0,string,4096
232,Mon Jun 19 2023 18:25:35,1439.658,16398.0,string,16384
344,Mon Jun 19 2023 18:32:24,1298.3006,16398.0,string,16384
358,Mon Jun 19 2023 18:39:09,1394.61,16398.0,string,16384
372,Mon Jun 19 2023 18:46:33,1565.5741,16398.0,string,16384
386,Mon Jun 19 2023 18:52:33,1266.3509,16398.0,string,16384
414,Wed Jun 21 2023 00:21:07,1102.3426,16398.0,string,16384
449,Mon Jun 19 2023 17:29:09,375.5145,16398.0,string,16384
456,Mon Jun 19 2023 17:32:24,1440.6744,16398.0,string,16384
470,Mon Jun 19 2023 17:39:09,1355.9162,16398.0,string,16384
477,Mon Jun 19 2023 17:40:11,1253.1112,16398.0,string,16384
484,Mon Jun 19 2023 17:46:33,1520.1376,16398.0,string,16384
491,Mon Jun 19 2023 17:46:53,372.1704,16398.0,string,16384
498,Mon Jun 19 2023 17:51:53,1681.1327,16398.0,string,16384
519,Tue Jun 20 2023 23:21:07,1095.7823,16398.0,string,16384
547,Tue Jun 20 2023 23:40:48,1695.1254,16398.0,string,16384
568,Mon Jun 19 2023 18:30:24,6995.7104,16398.0,string,16384
575,Mon Jun 19 2023 18:33:03,13551.6121,16398.0,string,16384
589,Mon Jun 19 2023 18:40:11,1349.7341,16398.0,string,16384
624,Wed Jun 21 2023 00:15:51,1353.4931,16398.0,string,16384
659,Wed Jun 21 2023 00:36:33,1266.8607,16398.0,string,16384
666,Wed Jun 21 2023 00:41:00,2652.8853,16398.0,string,16384
953,Wed Jun 21 2023 02:10:59,388.8224,16398.0,string,16384
1030,Mon Jun 19 2023 19:09:37,1439.8435,16398.0,string,16384
1100,Wed Jun 21 2023 01:38:04,1322.7453,16398.0,string,16384
1114,Wed Jun 21 2023 02:00:41,1332.6976,16398.0,string,16384
