index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
0,Mon Jun 19 2023 18:25:33,305.9461,4107.0,string,4096
7,Mon Jun 19 2023 18:25:58,66.86,4107.0,string,4096
14,Mon Jun 19 2023 18:26:31,249.9648,4107.0,string,4096
21,Mon Jun 19 2023 18:26:55,102.2284,4107.0,string,4096
28,Mon Jun 19 2023 18:27:29,193.0053,4107.0,string,4096
35,Mon Jun 19 2023 18:27:51,84.3656,4107.0,string,4096
42,Mon Jun 19 2023 18:28:26,230.0649,4107.0,string,4096
49,Mon Jun 19 2023 18:28:53,100.2003,4107.0,string,4096
56,Tue Jun 20 2023 23:59:33,295.7823,4107.0,string,4096
63,Tue Jun 20 2023 23:59:52,204.8011,4107.0,string,4096
70,Wed Jun 21 2023 00:00:22,226.0336,4107.0,string,4096
77,Wed Jun 21 2023 00:00:41,101.1247,4107.0,string,4096
84,Wed Jun 21 2023 00:01:12,455.6736,4107.0,string,4096
91,Wed Jun 21 2023 00:01:23,71.7248,4107.0,string,4096
98,Wed Jun 21 2023 00:01:53,408.436,4107.0,string,4096
105,Wed Jun 21 2023 00:02:12,98.9662,4107.0,string,4096
112,Mon Jun 19 2023 18:29:36,502.4767,4107.0,string,4096
119,Mon Jun 19 2023 18:32:23,95.9562,4107.0,string,4096
126,Mon Jun 19 2023 18:34:36,175.7415,4107.0,string,4096
133,Mon Jun 19 2023 18:38:28,291.7453,4107.0,string,4096
140,Mon Jun 19 2023 18:41:20,149.6672,4107.0,string,4096
168,Wed Jun 21 2023 00:02:44,211.0229,4107.0,string,4096
175,Wed Jun 21 2023 00:05:40,93.6892,4107.0,string,4096
182,Wed Jun 21 2023 00:18:10,236.9024,4107.0,string,4096
189,Wed Jun 21 2023 00:21:06,77.3406,4107.0,string,4096
196,Wed Jun 21 2023 00:25:40,254.4379,4107.0,string,4096
203,Wed Jun 21 2023 00:28:34,142.1693,4107.0,string,4096
210,Wed Jun 21 2023 00:36:32,316.0871,4107.0,string,4096
217,Wed Jun 21 2023 00:39:26,131.6715,4107.0,string,4096
224,Mon Jun 19 2023 19:28:44,298.5863,4107.0,string,4096
231,Mon Jun 19 2023 19:30:43,95.8257,4107.0,string,4096
238,Mon Jun 19 2023 19:31:56,266.1003,4107.0,string,4096
245,Mon Jun 19 2023 19:32:16,84.6681,4107.0,string,4096
252,Mon Jun 19 2023 19:32:49,222.6145,4107.0,string,4096
259,Mon Jun 19 2023 19:33:05,78.03,4107.0,string,4096
266,Mon Jun 19 2023 19:33:36,184.6922,4107.0,string,4096
273,Mon Jun 19 2023 19:33:54,93.0785,4107.0,string,4096
280,Wed Jun 21 2023 02:10:58,215.8514,4107.0,string,4096
287,Wed Jun 21 2023 02:12:23,95.1543,4107.0,string,4096
294,Wed Jun 21 2023 02:22:10,250.866,4107.0,string,4096
301,Wed Jun 21 2023 02:22:29,79.545,4107.0,string,4096
308,Wed Jun 21 2023 02:23:05,184.681,4107.0,string,4096
315,Wed Jun 21 2023 02:23:22,80.0382,4107.0,string,4096
322,Wed Jun 21 2023 02:23:57,228.8328,4107.0,string,4096
329,Wed Jun 21 2023 02:24:13,72.8511,4107.0,string,4096
336,Mon Jun 19 2023 18:55:17,222.0847,4107.0,string,4096
357,Mon Jun 19 2023 19:09:35,103.8556,4107.0,string,4096
378,Mon Jun 19 2023 19:20:05,204.1995,4107.0,string,4096
392,Wed Jun 21 2023 00:47:30,297.4326,4107.0,string,4096
406,Wed Jun 21 2023 01:08:22,250.2743,4107.0,string,4096
420,Wed Jun 21 2023 01:31:43,192.0847,4107.0,string,4096
434,Wed Jun 21 2023 01:57:06,210.9635,4107.0,string,4096
441,Wed Jun 21 2023 02:00:00,302.8695,4107.0,string,4096
1,Mon Jun 19 2023 18:25:33,167.8278,16398.0,string,16384
8,Mon Jun 19 2023 18:25:58,24.3278,16398.0,string,16384
15,Mon Jun 19 2023 18:26:31,154.13,16398.0,string,16384
22,Mon Jun 19 2023 18:26:55,29.587,16398.0,string,16384
29,Mon Jun 19 2023 18:27:29,210.5696,16398.0,string,16384
