index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
0,Mon Jun 19 2023 18:25:14,259.5569,4107.0,string,4096
7,Mon Jun 19 2023 18:25:33,290.6003,4107.0,string,4096
14,Mon Jun 19 2023 18:26:12,233.2432,4107.0,string,4096
21,Mon Jun 19 2023 18:26:31,296.7381,4107.0,string,4096
28,Mon Jun 19 2023 18:27:10,402.2383,4107.0,string,4096
35,Mon Jun 19 2023 18:27:29,359.1628,4107.0,string,4096
42,Mon Jun 19 2023 18:28:07,320.579,4107.0,string,4096
49,Mon Jun 19 2023 18:28:26,342.8048,4107.0,string,4096
56,Tue Jun 20 2023 23:59:33,425.6213,4107.0,string,4096
63,Wed Jun 21 2023 00:00:02,153.1317,4107.0,string,4096
70,Wed Jun 21 2023 00:00:22,311.6834,4107.0,string,4096
84,Wed Jun 21 2023 00:01:12,519.693,4107.0,string,4096
91,Wed Jun 21 2023 00:01:32,189.6145,4107.0,string,4096
98,Wed Jun 21 2023 00:01:53,515.966,4107.0,string,4096
105,Wed Jun 21 2023 00:02:21,126.7627,4107.0,string,4096
112,Mon Jun 19 2023 18:29:08,248.8899,4107.0,string,4096
119,Mon Jun 19 2023 18:29:37,443.1998,4107.0,string,4096
126,Mon Jun 19 2023 18:32:50,438.1742,4107.0,string,4096
133,Mon Jun 19 2023 18:33:56,334.0332,4107.0,string,4096
140,Mon Jun 19 2023 18:39:30,234.0992,4107.0,string,4096
147,Mon Jun 19 2023 18:40:41,416.1481,4107.0,string,4096
154,Mon Jun 19 2023 18:46:53,189.4668,4107.0,string,4096
161,Mon Jun 19 2023 18:48:08,402.6774,4107.0,string,4096
168,Wed Jun 21 2023 00:02:44,414.1067,4107.0,string,4096
182,Wed Jun 21 2023 00:18:10,333.6117,4107.0,string,4096
189,Wed Jun 21 2023 00:21:32,361.4392,4107.0,string,4096
196,Wed Jun 21 2023 00:25:40,192.6878,4107.0,string,4096
203,Wed Jun 21 2023 00:35:06,116.625,4107.0,string,4096
210,Wed Jun 21 2023 00:36:32,297.9611,4107.0,string,4096
217,Wed Jun 21 2023 00:40:57,120.4132,4107.0,string,4096
224,Mon Jun 19 2023 19:28:31,54.3888,4107.0,string,4096
231,Mon Jun 19 2023 19:28:44,321.666,4107.0,string,4096
238,Mon Jun 19 2023 19:31:42,97.6266,4107.0,string,4096
245,Mon Jun 19 2023 19:31:56,165.564,4107.0,string,4096
252,Mon Jun 19 2023 19:32:33,128.1178,4107.0,string,4096
259,Mon Jun 19 2023 19:32:49,181.9507,4107.0,string,4096
266,Mon Jun 19 2023 19:33:22,94.8766,4107.0,string,4096
273,Mon Jun 19 2023 19:33:36,196.4317,4107.0,string,4096
280,Wed Jun 21 2023 02:10:58,252.5116,4107.0,string,4096
287,Wed Jun 21 2023 02:21:51,60.5937,4107.0,string,4096
294,Wed Jun 21 2023 02:22:10,254.5699,4107.0,string,4096
301,Wed Jun 21 2023 02:22:45,124.8917,4107.0,string,4096
308,Wed Jun 21 2023 02:23:05,193.0274,4107.0,string,4096
315,Wed Jun 21 2023 02:23:37,298.4906,4107.0,string,4096
322,Wed Jun 21 2023 02:23:57,230.2773,4107.0,string,4096
329,Wed Jun 21 2023 02:24:29,129.9841,4107.0,string,4096
336,Mon Jun 19 2023 18:54:13,148.4207,4107.0,string,4096
350,Mon Jun 19 2023 19:02:07,377.2374,4107.0,string,4096
364,Mon Jun 19 2023 19:11:21,180.3453,4107.0,string,4096
378,Mon Jun 19 2023 19:19:04,102.3204,4107.0,string,4096
392,Wed Jun 21 2023 00:47:30,274.1967,4107.0,string,4096
399,Wed Jun 21 2023 01:00:05,114.4157,4107.0,string,4096
406,Wed Jun 21 2023 01:08:22,321.442,4107.0,string,4096
413,Wed Jun 21 2023 01:22:07,130.5129,4107.0,string,4096
420,Wed Jun 21 2023 01:31:43,207.3968,4107.0,string,4096
434,Wed Jun 21 2023 01:57:06,181.1148,4107.0,string,4096
441,Wed Jun 21 2023 02:02:42,121.1101,4107.0,string,4096
1,Mon Jun 19 2023 18:25:14,165.4508,16398.0,string,16384
15,Mon Jun 19 2023 18:26:13,217.2136,16398.0,string,16384
22,Mon Jun 19 2023 18:26:32,349.0633,16398.0,string,16384
29,Mon Jun 19 2023 18:27:10,235.3815,16398.0,string,16384
36,Mon Jun 19 2023 18:27:29,160.6685,16398.0,string,16384
43,Mon Jun 19 2023 18:28:07,221.5336,16398.0,string,16384
50,Mon Jun 19 2023 18:28:26,288.2296,16398.0,string,16384
57,Tue Jun 20 2023 23:59:33,157.5349,16398.0,string,16384
64,Wed Jun 21 2023 00:00:02,167.7479,16398.0,string,16384
71,Wed Jun 21 2023 00:00:23,147.5148,16398.0,string,16384
78,Wed Jun 21 2023 00:00:51,149.3866,16398.0,string,16384
85,Wed Jun 21 2023 00:01:12,170.5072,16398.0,string,16384
92,Wed Jun 21 2023 00:01:32,210.1998,16398.0,string,16384
99,Wed Jun 21 2023 00:01:53,165.2911,16398.0,string,16384
106,Wed Jun 21 2023 00:02:21,153.4685,16398.0,string,16384
113,Mon Jun 19 2023 18:29:09,205.9735,16398.0,string,16384
155,Mon Jun 19 2023 18:46:53,238.108,16398.0,string,16384
162,Mon Jun 19 2023 18:48:48,306.2318,16398.0,string,16384
169,Wed Jun 21 2023 00:03:24,125.3548,16398.0,string,16384
183,Wed Jun 21 2023 00:18:10,242.3332,16398.0,string,16384
190,Wed Jun 21 2023 00:21:32,86.3517,16398.0,string,16384
197,Wed Jun 21 2023 00:25:40,356.2202,16398.0,string,16384
204,Wed Jun 21 2023 00:35:06,215.9902,16398.0,string,16384
225,Mon Jun 19 2023 19:28:32,34.4732,16398.0,string,16384
232,Mon Jun 19 2023 19:28:45,307.8645,16398.0,string,16384
239,Mon Jun 19 2023 19:31:43,141.5971,16398.0,string,16384
246,Mon Jun 19 2023 19:31:56,183.6511,16398.0,string,16384
253,Mon Jun 19 2023 19:32:34,151.9096,16398.0,string,16384
260,Mon Jun 19 2023 19:32:49,133.9107,16398.0,string,16384
267,Mon Jun 19 2023 19:33:23,46.8389,16398.0,string,16384
274,Mon Jun 19 2023 19:33:37,217.6578,16398.0,string,16384
281,Wed Jun 21 2023 02:10:59,388.8224,16398.0,string,16384
288,Wed Jun 21 2023 02:21:51,69.3898,16398.0,string,16384
295,Wed Jun 21 2023 02:22:10,53.8266,16398.0,string,16384
302,Wed Jun 21 2023 02:22:45,103.4619,16398.0,string,16384
309,Wed Jun 21 2023 02:23:05,229.6002,16398.0,string,16384
316,Wed Jun 21 2023 02:23:38,102.9964,16398.0,string,16384
323,Wed Jun 21 2023 02:23:57,73.9096,16398.0,string,16384
330,Wed Jun 21 2023 02:24:29,101.1715,16398.0,string,16384
337,Mon Jun 19 2023 18:54:13,163.4718,16398.0,string,16384
365,Mon Jun 19 2023 19:11:22,200.6281,16398.0,string,16384
372,Mon Jun 19 2023 19:13:41,149.565,16398.0,string,16384
400,Wed Jun 21 2023 01:00:06,178.4717,16398.0,string,16384
414,Wed Jun 21 2023 01:22:07,86.1986,16398.0,string,16384
435,Wed Jun 21 2023 01:57:06,285.6423,16398.0,string,16384
442,Wed Jun 21 2023 02:02:43,62.0753,16398.0,string,16384
2,Mon Jun 19 2023 18:25:14,212.2001,65550.0,string,65536
9,Mon Jun 19 2023 18:25:35,243.4701,65550.0,string,65536
16,Mon Jun 19 2023 18:26:13,293.9852,65550.0,string,65536
23,Mon Jun 19 2023 18:26:32,158.9869,65550.0,string,65536
30,Mon Jun 19 2023 18:27:10,149.1163,65550.0,string,65536
37,Mon Jun 19 2023 18:27:29,321.644,65550.0,string,65536
44,Mon Jun 19 2023 18:28:07,231.7186,65550.0,string,65536
51,Mon Jun 19 2023 18:28:27,133.6817,65550.0,string,65536
58,Tue Jun 20 2023 23:59:34,221.6925,65550.0,string,65536
65,Wed Jun 21 2023 00:00:02,151.082,65550.0,string,65536
72,Wed Jun 21 2023 00:00:23,205.9774,65550.0,string,65536
79,Wed Jun 21 2023 00:00:51,160.2,65550.0,string,65536
86,Wed Jun 21 2023 00:01:12,174.5447,65550.0,string,65536
93,Wed Jun 21 2023 00:01:32,169.7552,65550.0,string,65536
100,Wed Jun 21 2023 00:01:53,126.5442,65550.0,string,65536
107,Wed Jun 21 2023 00:02:21,146.202,65550.0,string,65536
128,Mon Jun 19 2023 18:33:04,358.9699,65550.0,string,65536
135,Mon Jun 19 2023 18:35:56,360.5228,65550.0,string,65536
142,Mon Jun 19 2023 18:40:12,1210.2587,65550.0,string,65536
156,Mon Jun 19 2023 18:46:56,2312.6108,65550.0,string,65536
163,Mon Jun 19 2023 18:49:29,395.6701,65550.0,string,65536
170,Wed Jun 21 2023 00:03:24,124.8222,65550.0,string,65536
177,Wed Jun 21 2023 00:15:52,1272.3834,65550.0,string,65536
191,Wed Jun 21 2023 00:22:12,120.1838,65550.0,string,65536
205,Wed Jun 21 2023 00:35:08,1370.191,65550.0,string,65536
219,Wed Jun 21 2023 00:41:00,66.923,65550.0,string,65536
