index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
0,Mon Jun 19 2023 17:25:14,143.3427,4107.0,string,4096
7,Mon Jun 19 2023 17:25:58,142.9042,4107.0,string,4096
14,Mon Jun 19 2023 17:26:12,158.7899,4107.0,string,4096
21,Mon Jun 19 2023 17:26:55,148.3692,4107.0,string,4096
28,Mon Jun 19 2023 17:27:10,150.518,4107.0,string,4096
35,Mon Jun 19 2023 17:27:52,147.071,4107.0,string,4096
42,Mon Jun 19 2023 17:28:06,149.8931,4107.0,string,4096
49,Mon Jun 19 2023 17:28:53,141.3121,4107.0,string,4096
56,Tue Jun 20 2023 22:59:53,280.2157,4107.0,string,4096
63,Tue Jun 20 2023 23:00:02,140.1902,4107.0,string,4096
70,Tue Jun 20 2023 23:00:41,188.3782,4107.0,string,4096
77,Tue Jun 20 2023 23:00:50,161.3164,4107.0,string,4096
84,Tue Jun 20 2023 23:01:23,158.9095,4107.0,string,4096
91,Tue Jun 20 2023 23:01:32,142.9816,4107.0,string,4096
98,Tue Jun 20 2023 23:02:12,151.9172,4107.0,string,4096
105,Tue Jun 20 2023 23:02:21,139.7301,4107.0,string,4096
112,Mon Jun 19 2023 17:29:08,149.4983,4107.0,string,4096
119,Mon Jun 19 2023 17:32:23,139.0921,4107.0,string,4096
126,Mon Jun 19 2023 17:32:49,143.6758,4107.0,string,4096
133,Mon Jun 19 2023 17:38:27,141.479,4107.0,string,4096
140,Mon Jun 19 2023 17:39:29,146.7196,4107.0,string,4096
147,Mon Jun 19 2023 17:46:31,1268.8551,4107.0,string,4096
154,Mon Jun 19 2023 17:46:53,146.4595,4107.0,string,4096
161,Mon Jun 19 2023 17:51:51,1370.2596,4107.0,string,4096
182,Tue Jun 20 2023 23:21:06,154.9708,4107.0,string,4096
189,Tue Jun 20 2023 23:21:31,136.1958,4107.0,string,4096
203,Tue Jun 20 2023 23:36:01,15477.9499,4107.0,string,4096
217,Tue Jun 20 2023 23:40:57,144.9597,4107.0,string,4096
