index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
147,Mon Jun 19 2023 18:46:31,1205.728,4107.0,string,4096
154,Mon Jun 19 2023 18:48:15,7029.7075,4107.0,string,4096
161,Mon Jun 19 2023 18:51:51,1268.4221,4107.0,string,4096
343,Mon Jun 19 2023 19:01:27,1103.6681,4107.0,string,4096
371,Mon Jun 19 2023 19:17:59,1069.0263,4107.0,string,4096
385,Mon Jun 19 2023 19:27:00,3102.023,4107.0,string,4096
399,Wed Jun 21 2023 00:51:56,13927.6691,4107.0,string,4096
413,Wed Jun 21 2023 01:12:40,1705.1121,4107.0,string,4096
427,Wed Jun 21 2023 01:38:03,1737.5138,4107.0,string,4096
120,Mon Jun 19 2023 18:32:24,1298.3006,16398.0,string,16384
134,Mon Jun 19 2023 18:39:09,1394.61,16398.0,string,16384
148,Mon Jun 19 2023 18:46:33,1565.5741,16398.0,string,16384
162,Mon Jun 19 2023 18:52:33,1266.3509,16398.0,string,16384
190,Wed Jun 21 2023 00:21:07,1102.3426,16398.0,string,16384
358,Mon Jun 19 2023 19:09:37,1439.8435,16398.0,string,16384
428,Wed Jun 21 2023 01:38:04,1322.7453,16398.0,string,16384
442,Wed Jun 21 2023 02:00:41,1332.6976,16398.0,string,16384
135,Mon Jun 19 2023 18:39:11,1697.5876,65550.0,string,65536
149,Mon Jun 19 2023 18:46:34,1233.6672,65550.0,string,65536
163,Mon Jun 19 2023 18:52:34,1304.8069,65550.0,string,65536
177,Wed Jun 21 2023 00:06:00,19817.7669,65550.0,string,65536
205,Wed Jun 21 2023 00:28:36,1451.476,65550.0,string,65536
219,Wed Jun 21 2023 00:40:08,1758.1348,65550.0,string,65536
345,Mon Jun 19 2023 19:01:29,1063.0215,65550.0,string,65536
373,Mon Jun 19 2023 19:18:41,1314.8006,65550.0,string,65536
387,Mon Jun 19 2023 19:27:42,1321.9894,65550.0,string,65536
401,Wed Jun 21 2023 00:51:58,1436.4077,65550.0,string,65536
415,Wed Jun 21 2023 01:12:42,1338.6447,65550.0,string,65536
443,Wed Jun 21 2023 02:00:43,1290.6233,65550.0,string,65536
122,Mon Jun 19 2023 18:32:26,1490.9057,262158.0,string,262144
136,Mon Jun 19 2023 18:39:12,1202.4456,262158.0,string,262144
150,Mon Jun 19 2023 18:46:35,1361.0937,262158.0,string,262144
178,Wed Jun 21 2023 00:06:02,1398.1322,262158.0,string,262144
192,Wed Jun 21 2023 00:21:09,1918.6026,262158.0,string,262144
220,Wed Jun 21 2023 00:40:09,1371.0684,262158.0,string,262144
430,Wed Jun 21 2023 01:38:07,1846.0653,262158.0,string,262144
347,Mon Jun 19 2023 19:01:44,14347.5159,1048832.0,string,1048576
152,Mon Jun 19 2023 18:46:37,1635.0263,4195305.0,string,4194304
166,Mon Jun 19 2023 18:53:56,1879.0119,4195305.0,string,4194304
201,Wed Jun 21 2023 00:27:44,3252.6303,4195305.0,string,4194304
208,Wed Jun 21 2023 00:28:41,2050.3043,4195305.0,string,4194304
222,Wed Jun 21 2023 00:40:12,1909.2701,4195305.0,string,4194304
341,Mon Jun 19 2023 18:59:52,3177.8656,4195305.0,string,4194304
362,Mon Jun 19 2023 19:11:01,1779.7372,4195305.0,string,4194304
383,Mon Jun 19 2023 19:24:49,3024.6225,4195305.0,string,4194304
432,Wed Jun 21 2023 01:38:09,1924.36,4195305.0,string,4194304
446,Wed Jun 21 2023 02:00:47,1753.7766,4195305.0,string,4194304
195,Wed Jun 21 2023 00:21:25,14322.3175,16781194.0,string,16777216
216,Wed Jun 21 2023 00:38:22,25448.0292,16781194.0,string,16777216
223,Wed Jun 21 2023 00:40:28,16516.2836,16781194.0,string,16777216
405,Wed Jun 21 2023 00:52:06,5133.6897,16781194.0,string,16777216
440,Wed Jun 21 2023 01:59:19,8644.3841,16781194.0,string,16777216
