index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
77,Wed Jun 21 2023 00:00:51,1040.0434,4107.0,string,4096
175,Wed Jun 21 2023 00:15:49,1496.5802,4107.0,string,4096
343,Mon Jun 19 2023 18:55:18,1072.5496,4107.0,string,4096
427,Wed Jun 21 2023 01:47:32,2558.9347,4107.0,string,4096
8,Mon Jun 19 2023 18:25:35,1439.658,16398.0,string,16384
120,Mon Jun 19 2023 18:30:24,6995.7104,16398.0,string,16384
127,Mon Jun 19 2023 18:33:03,13551.6121,16398.0,string,16384
141,Mon Jun 19 2023 18:40:11,1349.7341,16398.0,string,16384
176,Wed Jun 21 2023 00:15:51,1353.4931,16398.0,string,16384
211,Wed Jun 21 2023 00:36:33,1266.8607,16398.0,string,16384
218,Wed Jun 21 2023 00:41:00,2652.8853,16398.0,string,16384
351,Mon Jun 19 2023 19:02:10,1832.5412,16398.0,string,16384
379,Mon Jun 19 2023 19:19:16,11669.7523,16398.0,string,16384
428,Wed Jun 21 2023 01:47:34,1539.8165,16398.0,string,16384
114,Mon Jun 19 2023 18:29:11,2420.1772,65550.0,string,65536
121,Mon Jun 19 2023 18:30:26,2753.4534,65550.0,string,65536
366,Mon Jun 19 2023 19:11:38,15720.9223,65550.0,string,65536
394,Wed Jun 21 2023 00:49:19,28581.135,65550.0,string,65536
401,Wed Jun 21 2023 01:00:15,8358.8249,65550.0,string,65536
429,Wed Jun 21 2023 01:47:46,11564.9573,65550.0,string,65536
122,Mon Jun 19 2023 18:30:35,8417.1937,262158.0,string,262144
129,Mon Jun 19 2023 18:33:33,29660.147,262158.0,string,262144
152,Mon Jun 19 2023 18:45:29,4678.8543,4195305.0,string,4194304
159,Mon Jun 19 2023 18:47:51,11837.4214,4195305.0,string,4194304
222,Wed Jun 21 2023 00:41:28,26131.561,4195305.0,string,4194304
362,Mon Jun 19 2023 19:08:06,12819.9985,4195305.0,string,4194304
376,Mon Jun 19 2023 19:16:30,4636.9814,4195305.0,string,4194304
146,Mon Jun 19 2023 18:40:32,12541.9603,16781194.0,string,16777216
447,Wed Jun 21 2023 02:03:48,16401.1859,16781194.0,string,16777216
