index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
56,Tue Jun 20 2023 22:59:53,280.2157,4107.0,string,4096
70,Tue Jun 20 2023 23:00:41,188.3782,4107.0,string,4096
147,Mon Jun 19 2023 17:46:31,1268.8551,4107.0,string,4096
161,Mon Jun 19 2023 17:51:51,1370.2596,4107.0,string,4096
203,Tue Jun 20 2023 23:36:01,15477.9499,4107.0,string,4096
231,Mon Jun 19 2023 18:31:25,1601.6657,4107.0,string,4096
343,Mon Jun 19 2023 18:01:28,1592.2367,4107.0,string,4096
357,Mon Jun 19 2023 18:09:37,1381.6097,4107.0,string,4096
385,Mon Jun 19 2023 18:27:00,3180.6662,4107.0,string,4096
392,Tue Jun 20 2023 23:51:56,14002.9318,4107.0,string,4096
120,Mon Jun 19 2023 17:32:24,1440.6744,16398.0,string,16384
134,Mon Jun 19 2023 17:39:09,1355.9162,16398.0,string,16384
141,Mon Jun 19 2023 17:40:11,1253.1112,16398.0,string,16384
148,Mon Jun 19 2023 17:46:33,1520.1376,16398.0,string,16384
162,Mon Jun 19 2023 17:51:53,1681.1327,16398.0,string,16384
183,Tue Jun 20 2023 23:21:07,1095.7823,16398.0,string,16384
211,Tue Jun 20 2023 23:40:48,1695.1254,16398.0,string,16384
344,Mon Jun 19 2023 18:01:30,1629.5766,16398.0,string,16384
351,Mon Jun 19 2023 18:02:49,1571.1793,16398.0,string,16384
358,Mon Jun 19 2023 18:09:38,1387.8363,16398.0,string,16384
372,Mon Jun 19 2023 18:18:40,1344.8854,16398.0,string,16384
435,Wed Jun 21 2023 01:00:41,1409.5255,16398.0,string,16384
177,Tue Jun 20 2023 23:17:52,3940.7086,65550.0,string,65536
192,Tue Jun 20 2023 23:25:21,28993.7721,262158.0,string,262144
199,Tue Jun 20 2023 23:33:29,14465.0473,262158.0,string,262144
200,Tue Jun 20 2023 23:33:35,5602.9299,1048832.0,string,1048576
159,Mon Jun 19 2023 17:47:49,10200.1973,4195305.0,string,4194304
201,Tue Jun 20 2023 23:33:40,4957.1292,4195305.0,string,4194304
208,Tue Jun 20 2023 23:36:08,3706.5675,4195305.0,string,4194304
348,Mon Jun 19 2023 18:01:50,15665.6223,4195305.0,string,4194304
118,Mon Jun 19 2023 17:29:28,12044.0351,16781194.0,string,16777216
188,Tue Jun 20 2023 23:21:25,14299.4812,16781194.0,string,16777216
209,Tue Jun 20 2023 23:36:17,8825.4125,16781194.0,string,16777216
223,Tue Jun 20 2023 23:47:15,17455.8776,16781194.0,string,16777216
