index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
0,Mon Jun 19 2023 18:29:36,502.4767,4107.0,string,4096
7,Mon Jun 19 2023 18:32:23,95.9562,4107.0,string,4096
14,Mon Jun 19 2023 18:34:36,175.7415,4107.0,string,4096
21,Mon Jun 19 2023 18:38:28,291.7453,4107.0,string,4096
28,Mon Jun 19 2023 18:41:20,149.6672,4107.0,string,4096
56,Wed Jun 21 2023 00:02:44,211.0229,4107.0,string,4096
63,Wed Jun 21 2023 00:05:40,93.6892,4107.0,string,4096
70,Wed Jun 21 2023 00:18:10,236.9024,4107.0,string,4096
77,Wed Jun 21 2023 00:21:06,77.3406,4107.0,string,4096
84,Wed Jun 21 2023 00:25:40,254.4379,4107.0,string,4096
91,Wed Jun 21 2023 00:28:34,142.1693,4107.0,string,4096
98,Wed Jun 21 2023 00:36:32,316.0871,4107.0,string,4096
105,Wed Jun 21 2023 00:39:26,131.6715,4107.0,string,4096
112,Mon Jun 19 2023 17:29:08,149.4983,4107.0,string,4096
119,Mon Jun 19 2023 17:32:23,139.0921,4107.0,string,4096
126,Mon Jun 19 2023 17:32:49,143.6758,4107.0,string,4096
133,Mon Jun 19 2023 17:38:27,141.479,4107.0,string,4096
140,Mon Jun 19 2023 17:39:29,146.7196,4107.0,string,4096
154,Mon Jun 19 2023 17:46:53,146.4595,4107.0,string,4096
182,Tue Jun 20 2023 23:21:06,154.9708,4107.0,string,4096
189,Tue Jun 20 2023 23:21:31,136.1958,4107.0,string,4096
217,Tue Jun 20 2023 23:40:57,144.9597,4107.0,string,4096
224,Mon Jun 19 2023 18:29:08,248.8899,4107.0,string,4096
231,Mon Jun 19 2023 18:29:37,443.1998,4107.0,string,4096
238,Mon Jun 19 2023 18:32:50,438.1742,4107.0,string,4096
245,Mon Jun 19 2023 18:33:56,334.0332,4107.0,string,4096
252,Mon Jun 19 2023 18:39:30,234.0992,4107.0,string,4096
259,Mon Jun 19 2023 18:40:41,416.1481,4107.0,string,4096
266,Mon Jun 19 2023 18:46:53,189.4668,4107.0,string,4096
273,Mon Jun 19 2023 18:48:08,402.6774,4107.0,string,4096
280,Wed Jun 21 2023 00:02:44,414.1067,4107.0,string,4096
294,Wed Jun 21 2023 00:18:10,333.6117,4107.0,string,4096
301,Wed Jun 21 2023 00:21:32,361.4392,4107.0,string,4096
308,Wed Jun 21 2023 00:25:40,192.6878,4107.0,string,4096
315,Wed Jun 21 2023 00:35:06,116.625,4107.0,string,4096
322,Wed Jun 21 2023 00:36:32,297.9611,4107.0,string,4096
329,Wed Jun 21 2023 00:40:57,120.4132,4107.0,string,4096
8,Mon Jun 19 2023 18:32:24,1298.3006,16398.0,string,16384
15,Mon Jun 19 2023 18:34:36,152.6255,16398.0,string,16384
22,Mon Jun 19 2023 18:39:09,1394.61,16398.0,string,16384
29,Mon Jun 19 2023 18:41:20,149.5019,16398.0,string,16384
36,Mon Jun 19 2023 18:46:33,1565.5741,16398.0,string,16384
43,Mon Jun 19 2023 18:48:55,102.3104,16398.0,string,16384
50,Mon Jun 19 2023 18:52:33,1266.3509,16398.0,string,16384
57,Wed Jun 21 2023 00:03:24,185.6504,16398.0,string,16384
64,Wed Jun 21 2023 00:05:41,133.2722,16398.0,string,16384
71,Wed Jun 21 2023 00:18:10,151.0113,16398.0,string,16384
78,Wed Jun 21 2023 00:21:07,1102.3426,16398.0,string,16384
85,Wed Jun 21 2023 00:25:40,165.305,16398.0,string,16384
92,Wed Jun 21 2023 00:28:34,169.8376,16398.0,string,16384
99,Wed Jun 21 2023 00:36:32,158.9664,16398.0,string,16384
106,Wed Jun 21 2023 00:39:26,147.1516,16398.0,string,16384
113,Mon Jun 19 2023 17:29:09,375.5145,16398.0,string,16384
120,Mon Jun 19 2023 17:32:24,1440.6744,16398.0,string,16384
127,Mon Jun 19 2023 17:32:50,142.1156,16398.0,string,16384
134,Mon Jun 19 2023 17:39:09,1355.9162,16398.0,string,16384
141,Mon Jun 19 2023 17:40:11,1253.1112,16398.0,string,16384
148,Mon Jun 19 2023 17:46:33,1520.1376,16398.0,string,16384
155,Mon Jun 19 2023 17:46:53,372.1704,16398.0,string,16384
162,Mon Jun 19 2023 17:51:53,1681.1327,16398.0,string,16384
183,Tue Jun 20 2023 23:21:07,1095.7823,16398.0,string,16384
204,Tue Jun 20 2023 23:36:02,177.2225,16398.0,string,16384
211,Tue Jun 20 2023 23:40:48,1695.1254,16398.0,string,16384
218,Tue Jun 20 2023 23:41:37,147.3578,16398.0,string,16384
225,Mon Jun 19 2023 18:29:09,205.9735,16398.0,string,16384
253,Mon Jun 19 2023 18:40:11,1349.7341,16398.0,string,16384
267,Mon Jun 19 2023 18:46:53,238.108,16398.0,string,16384
274,Mon Jun 19 2023 18:48:48,306.2318,16398.0,string,16384
281,Wed Jun 21 2023 00:03:24,125.3548,16398.0,string,16384
288,Wed Jun 21 2023 00:15:51,1353.4931,16398.0,string,16384
295,Wed Jun 21 2023 00:18:10,242.3332,16398.0,string,16384
302,Wed Jun 21 2023 00:21:32,86.3517,16398.0,string,16384
309,Wed Jun 21 2023 00:25:40,356.2202,16398.0,string,16384
316,Wed Jun 21 2023 00:35:06,215.9902,16398.0,string,16384
