index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
0,Mon Jun 19 2023 18:55:17,222.0847,4107.0,string,4096
7,Mon Jun 19 2023 19:01:27,1103.6681,4107.0,string,4096
21,Mon Jun 19 2023 19:09:35,103.8556,4107.0,string,4096
35,Mon Jun 19 2023 19:17:59,1069.0263,4107.0,string,4096
42,Mon Jun 19 2023 19:20:05,204.1995,4107.0,string,4096
49,Mon Jun 19 2023 19:27:00,3102.023,4107.0,string,4096
56,Wed Jun 21 2023 00:47:30,297.4326,4107.0,string,4096
63,Wed Jun 21 2023 00:51:56,13927.6691,4107.0,string,4096
70,Wed Jun 21 2023 01:08:22,250.2743,4107.0,string,4096
77,Wed Jun 21 2023 01:12:40,1705.1121,4107.0,string,4096
84,Wed Jun 21 2023 01:31:43,192.0847,4107.0,string,4096
91,Wed Jun 21 2023 01:38:03,1737.5138,4107.0,string,4096
98,Wed Jun 21 2023 01:57:06,210.9635,4107.0,string,4096
105,Wed Jun 21 2023 02:00:00,302.8695,4107.0,string,4096
112,Mon Jun 19 2023 17:54:13,140.2876,4107.0,string,4096
119,Mon Jun 19 2023 18:01:28,1592.2367,4107.0,string,4096
126,Mon Jun 19 2023 18:02:07,161.1207,4107.0,string,4096
133,Mon Jun 19 2023 18:09:37,1381.6097,4107.0,string,4096
140,Mon Jun 19 2023 18:11:21,143.1728,4107.0,string,4096
147,Mon Jun 19 2023 18:17:58,163.5461,4107.0,string,4096
154,Mon Jun 19 2023 18:19:04,144.6441,4107.0,string,4096
161,Mon Jun 19 2023 18:27:00,3180.6662,4107.0,string,4096
168,Tue Jun 20 2023 23:51:56,14002.9318,4107.0,string,4096
175,Wed Jun 21 2023 00:00:05,146.2227,4107.0,string,4096
210,Wed Jun 21 2023 01:00:00,142.4807,4107.0,string,4096
217,Wed Jun 21 2023 01:02:42,140.4369,4107.0,string,4096
224,Mon Jun 19 2023 18:54:13,148.4207,4107.0,string,4096
231,Mon Jun 19 2023 18:55:18,1072.5496,4107.0,string,4096
238,Mon Jun 19 2023 19:02:07,377.2374,4107.0,string,4096
252,Mon Jun 19 2023 19:11:21,180.3453,4107.0,string,4096
266,Mon Jun 19 2023 19:19:04,102.3204,4107.0,string,4096
280,Wed Jun 21 2023 00:47:30,274.1967,4107.0,string,4096
287,Wed Jun 21 2023 01:00:05,114.4157,4107.0,string,4096
294,Wed Jun 21 2023 01:08:22,321.442,4107.0,string,4096
301,Wed Jun 21 2023 01:22:07,130.5129,4107.0,string,4096
308,Wed Jun 21 2023 01:31:43,207.3968,4107.0,string,4096
315,Wed Jun 21 2023 01:47:32,2558.9347,4107.0,string,4096
322,Wed Jun 21 2023 01:57:06,181.1148,4107.0,string,4096
329,Wed Jun 21 2023 02:02:42,121.1101,4107.0,string,4096
8,Mon Jun 19 2023 19:01:27,126.8215,16398.0,string,16384
22,Mon Jun 19 2023 19:09:37,1439.8435,16398.0,string,16384
29,Mon Jun 19 2023 19:13:41,170.0018,16398.0,string,16384
36,Mon Jun 19 2023 19:17:59,26.4428,16398.0,string,16384
50,Mon Jun 19 2023 19:27:00,128.3719,16398.0,string,16384
57,Wed Jun 21 2023 00:48:10,201.6985,16398.0,string,16384
64,Wed Jun 21 2023 00:51:56,155.7779,16398.0,string,16384
71,Wed Jun 21 2023 01:08:22,172.9168,16398.0,string,16384
78,Wed Jun 21 2023 01:12:40,34.7486,16398.0,string,16384
85,Wed Jun 21 2023 01:31:43,168.7083,16398.0,string,16384
92,Wed Jun 21 2023 01:38:04,1322.7453,16398.0,string,16384
99,Wed Jun 21 2023 01:57:06,167.0949,16398.0,string,16384
106,Wed Jun 21 2023 02:00:41,1332.6976,16398.0,string,16384
113,Mon Jun 19 2023 17:54:13,147.0571,16398.0,string,16384
120,Mon Jun 19 2023 18:01:30,1629.5766,16398.0,string,16384
127,Mon Jun 19 2023 18:02:49,1571.1793,16398.0,string,16384
134,Mon Jun 19 2023 18:09:38,1387.8363,16398.0,string,16384
141,Mon Jun 19 2023 18:11:22,140.9141,16398.0,string,16384
148,Mon Jun 19 2023 18:18:40,1344.8854,16398.0,string,16384
155,Mon Jun 19 2023 18:19:04,142.6451,16398.0,string,16384
162,Mon Jun 19 2023 18:27:01,170.1785,16398.0,string,16384
211,Wed Jun 21 2023 01:00:41,1409.5255,16398.0,string,16384
225,Mon Jun 19 2023 18:54:13,163.4718,16398.0,string,16384
239,Mon Jun 19 2023 19:02:10,1832.5412,16398.0,string,16384
253,Mon Jun 19 2023 19:11:22,200.6281,16398.0,string,16384
260,Mon Jun 19 2023 19:13:41,149.565,16398.0,string,16384
267,Mon Jun 19 2023 19:19:16,11669.7523,16398.0,string,16384
288,Wed Jun 21 2023 01:00:06,178.4717,16398.0,string,16384
302,Wed Jun 21 2023 01:22:07,86.1986,16398.0,string,16384
316,Wed Jun 21 2023 01:47:34,1539.8165,16398.0,string,16384
323,Wed Jun 21 2023 01:57:06,285.6423,16398.0,string,16384
330,Wed Jun 21 2023 02:02:43,62.0753,16398.0,string,16384
9,Mon Jun 19 2023 19:01:29,1063.0215,65550.0,string,65536
16,Mon Jun 19 2023 19:06:29,254.0203,65550.0,string,65536
23,Mon Jun 19 2023 19:09:37,139.2065,65550.0,string,65536
30,Mon Jun 19 2023 19:14:21,250.8164,65550.0,string,65536
37,Mon Jun 19 2023 19:18:41,1314.8006,65550.0,string,65536
51,Mon Jun 19 2023 19:27:42,1321.9894,65550.0,string,65536
58,Wed Jun 21 2023 00:48:51,255.0683,65550.0,string,65536
65,Wed Jun 21 2023 00:51:58,1436.4077,65550.0,string,65536
72,Wed Jun 21 2023 01:09:03,266.6817,65550.0,string,65536
79,Wed Jun 21 2023 01:12:42,1338.6447,65550.0,string,65536
93,Wed Jun 21 2023 01:38:05,134.6744,65550.0,string,65536
107,Wed Jun 21 2023 02:00:43,1290.6233,65550.0,string,65536
114,Mon Jun 19 2023 17:54:55,1516.9958,65550.0,string,65536
121,Mon Jun 19 2023 18:01:31,1356.2178,65550.0,string,65536
128,Mon Jun 19 2023 18:02:51,1460.1722,65550.0,string,65536
