index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
0,Mon Jun 19 2023 19:28:44,298.5863,4107.0,string,4096
7,Mon Jun 19 2023 19:30:43,95.8257,4107.0,string,4096
14,Mon Jun 19 2023 19:31:56,266.1003,4107.0,string,4096
21,Mon Jun 19 2023 19:32:16,84.6681,4107.0,string,4096
28,Mon Jun 19 2023 19:32:49,222.6145,4107.0,string,4096
35,Mon Jun 19 2023 19:33:05,78.03,4107.0,string,4096
42,Mon Jun 19 2023 19:33:36,184.6922,4107.0,string,4096
49,Mon Jun 19 2023 19:33:54,93.0785,4107.0,string,4096
56,Wed Jun 21 2023 02:10:58,215.8514,4107.0,string,4096
63,Wed Jun 21 2023 02:12:23,95.1543,4107.0,string,4096
70,Wed Jun 21 2023 02:22:10,250.866,4107.0,string,4096
77,Wed Jun 21 2023 02:22:29,79.545,4107.0,string,4096
84,Wed Jun 21 2023 02:23:05,184.681,4107.0,string,4096
91,Wed Jun 21 2023 02:23:22,80.0382,4107.0,string,4096
98,Wed Jun 21 2023 02:23:57,228.8328,4107.0,string,4096
105,Wed Jun 21 2023 02:24:13,72.8511,4107.0,string,4096
112,Mon Jun 19 2023 18:28:31,142.8889,4107.0,string,4096
119,Mon Jun 19 2023 18:31:25,1601.6657,4107.0,string,4096
126,Mon Jun 19 2023 18:31:42,144.3355,4107.0,string,4096
133,Mon Jun 19 2023 18:32:16,141.6756,4107.0,string,4096
140,Mon Jun 19 2023 18:32:33,154.2934,4107.0,string,4096
147,Mon Jun 19 2023 18:33:05,139.4898,4107.0,string,4096
154,Mon Jun 19 2023 18:33:22,146.46,4107.0,string,4096
161,Mon Jun 19 2023 18:33:54,141.5327,4107.0,string,4096
175,Wed Jun 21 2023 01:21:51,135.2046,4107.0,string,4096
182,Wed Jun 21 2023 01:22:29,162.5761,4107.0,string,4096
189,Wed Jun 21 2023 01:22:45,146.7464,4107.0,string,4096
196,Wed Jun 21 2023 01:23:22,144.1815,4107.0,string,4096
203,Wed Jun 21 2023 01:23:37,158.7337,4107.0,string,4096
210,Wed Jun 21 2023 01:24:14,156.3456,4107.0,string,4096
217,Wed Jun 21 2023 01:24:29,145.6679,4107.0,string,4096
224,Mon Jun 19 2023 19:28:31,54.3888,4107.0,string,4096
231,Mon Jun 19 2023 19:28:44,321.666,4107.0,string,4096
238,Mon Jun 19 2023 19:31:42,97.6266,4107.0,string,4096
245,Mon Jun 19 2023 19:31:56,165.564,4107.0,string,4096
252,Mon Jun 19 2023 19:32:33,128.1178,4107.0,string,4096
259,Mon Jun 19 2023 19:32:49,181.9507,4107.0,string,4096
266,Mon Jun 19 2023 19:33:22,94.8766,4107.0,string,4096
273,Mon Jun 19 2023 19:33:36,196.4317,4107.0,string,4096
280,Wed Jun 21 2023 02:10:58,252.5116,4107.0,string,4096
287,Wed Jun 21 2023 02:21:51,60.5937,4107.0,string,4096
294,Wed Jun 21 2023 02:22:10,254.5699,4107.0,string,4096
301,Wed Jun 21 2023 02:22:45,124.8917,4107.0,string,4096
308,Wed Jun 21 2023 02:23:05,193.0274,4107.0,string,4096
315,Wed Jun 21 2023 02:23:37,298.4906,4107.0,string,4096
322,Wed Jun 21 2023 02:23:57,230.2773,4107.0,string,4096
329,Wed Jun 21 2023 02:24:29,129.9841,4107.0,string,4096
1,Mon Jun 19 2023 19:28:44,192.2789,16398.0,string,16384
8,Mon Jun 19 2023 19:30:44,24.9224,16398.0,string,16384
15,Mon Jun 19 2023 19:31:56,153.7124,16398.0,string,16384
22,Mon Jun 19 2023 19:32:16,31.4318,16398.0,string,16384
29,Mon Jun 19 2023 19:32:49,160.0464,16398.0,string,16384
36,Mon Jun 19 2023 19:33:05,25.7508,16398.0,string,16384
43,Mon Jun 19 2023 19:33:36,177.942,16398.0,string,16384
50,Mon Jun 19 2023 19:33:54,105.2202,16398.0,string,16384
57,Wed Jun 21 2023 02:10:59,155.3855,16398.0,string,16384
64,Wed Jun 21 2023 02:12:23,23.5464,16398.0,string,16384
71,Wed Jun 21 2023 02:22:10,151.2458,16398.0,string,16384
78,Wed Jun 21 2023 02:22:29,30.1105,16398.0,string,16384
85,Wed Jun 21 2023 02:23:05,158.6467,16398.0,string,16384
92,Wed Jun 21 2023 02:23:22,26.484,16398.0,string,16384
99,Wed Jun 21 2023 02:23:57,160.3683,16398.0,string,16384
106,Wed Jun 21 2023 02:24:14,27.9952,16398.0,string,16384
113,Mon Jun 19 2023 18:28:32,158.1336,16398.0,string,16384
120,Mon Jun 19 2023 18:31:25,149.3224,16398.0,string,16384
127,Mon Jun 19 2023 18:31:43,151.7022,16398.0,string,16384
134,Mon Jun 19 2023 18:32:17,137.541,16398.0,string,16384
141,Mon Jun 19 2023 18:32:34,156.264,16398.0,string,16384
148,Mon Jun 19 2023 18:33:05,145.5906,16398.0,string,16384
155,Mon Jun 19 2023 18:33:23,150.707,16398.0,string,16384
162,Mon Jun 19 2023 18:33:54,140.46,16398.0,string,16384
176,Wed Jun 21 2023 01:21:51,139.6109,16398.0,string,16384
183,Wed Jun 21 2023 01:22:29,150.3978,16398.0,string,16384
190,Wed Jun 21 2023 01:22:45,141.942,16398.0,string,16384
197,Wed Jun 21 2023 01:23:23,155.6317,16398.0,string,16384
204,Wed Jun 21 2023 01:23:38,141.9882,16398.0,string,16384
211,Wed Jun 21 2023 01:24:14,222.4093,16398.0,string,16384
218,Wed Jun 21 2023 01:24:29,142.8145,16398.0,string,16384
225,Mon Jun 19 2023 19:28:32,34.4732,16398.0,string,16384
232,Mon Jun 19 2023 19:28:45,307.8645,16398.0,string,16384
239,Mon Jun 19 2023 19:31:43,141.5971,16398.0,string,16384
246,Mon Jun 19 2023 19:31:56,183.6511,16398.0,string,16384
253,Mon Jun 19 2023 19:32:34,151.9096,16398.0,string,16384
260,Mon Jun 19 2023 19:32:49,133.9107,16398.0,string,16384
267,Mon Jun 19 2023 19:33:23,46.8389,16398.0,string,16384
274,Mon Jun 19 2023 19:33:37,217.6578,16398.0,string,16384
281,Wed Jun 21 2023 02:10:59,388.8224,16398.0,string,16384
288,Wed Jun 21 2023 02:21:51,69.3898,16398.0,string,16384
295,Wed Jun 21 2023 02:22:10,53.8266,16398.0,string,16384
302,Wed Jun 21 2023 02:22:45,103.4619,16398.0,string,16384
309,Wed Jun 21 2023 02:23:05,229.6002,16398.0,string,16384
316,Wed Jun 21 2023 02:23:38,102.9964,16398.0,string,16384
323,Wed Jun 21 2023 02:23:57,73.9096,16398.0,string,16384
330,Wed Jun 21 2023 02:24:29,101.1715,16398.0,string,16384
2,Mon Jun 19 2023 19:28:45,256.7159,65550.0,string,65536
9,Mon Jun 19 2023 19:30:44,30.7919,65550.0,string,65536
16,Mon Jun 19 2023 19:31:57,151.7984,65550.0,string,65536
23,Mon Jun 19 2023 19:32:17,79.7068,65550.0,string,65536
30,Mon Jun 19 2023 19:32:50,167.4071,65550.0,string,65536
37,Mon Jun 19 2023 19:33:05,34.3403,65550.0,string,65536
44,Mon Jun 19 2023 19:33:37,182.0302,65550.0,string,65536
51,Mon Jun 19 2023 19:33:54,43.8207,65550.0,string,65536
58,Wed Jun 21 2023 02:10:59,242.2633,65550.0,string,65536
65,Wed Jun 21 2023 02:12:23,31.5518,65550.0,string,65536
72,Wed Jun 21 2023 02:22:10,148.9315,65550.0,string,65536
79,Wed Jun 21 2023 02:22:29,81.7668,65550.0,string,65536
86,Wed Jun 21 2023 02:23:05,165.6866,65550.0,string,65536
93,Wed Jun 21 2023 02:23:23,57.166,65550.0,string,65536
100,Wed Jun 21 2023 02:23:58,160.6347,65550.0,string,65536
107,Wed Jun 21 2023 02:24:14,30.5194,65550.0,string,65536
114,Mon Jun 19 2023 18:28:32,142.8453,65550.0,string,65536
121,Mon Jun 19 2023 18:31:26,211.8045,65550.0,string,65536
128,Mon Jun 19 2023 18:31:43,143.9304,65550.0,string,65536
135,Mon Jun 19 2023 18:32:17,156.2747,65550.0,string,65536
142,Mon Jun 19 2023 18:32:34,155.5215,65550.0,string,65536
149,Mon Jun 19 2023 18:33:06,164.8292,65550.0,string,65536
156,Mon Jun 19 2023 18:33:23,156.3352,65550.0,string,65536
163,Mon Jun 19 2023 18:33:55,143.4966,65550.0,string,65536
177,Wed Jun 21 2023 01:21:52,211.4222,65550.0,string,65536
184,Wed Jun 21 2023 01:22:30,207.3427,65550.0,string,65536
191,Wed Jun 21 2023 01:22:46,145.2865,65550.0,string,65536
198,Wed Jun 21 2023 01:23:23,162.4136,65550.0,string,65536
205,Wed Jun 21 2023 01:23:38,146.4851,65550.0,string,65536
212,Wed Jun 21 2023 01:24:15,166.2072,65550.0,string,65536
219,Wed Jun 21 2023 01:24:30,144.0025,65550.0,string,65536
226,Mon Jun 19 2023 19:28:32,108.8891,65550.0,string,65536
233,Mon Jun 19 2023 19:28:45,48.5332,65550.0,string,65536
240,Mon Jun 19 2023 19:31:43,68.312,65550.0,string,65536
247,Mon Jun 19 2023 19:31:57,61.221,65550.0,string,65536
254,Mon Jun 19 2023 19:32:35,80.19,65550.0,string,65536
261,Mon Jun 19 2023 19:32:50,196.0872,65550.0,string,65536
268,Mon Jun 19 2023 19:33:23,179.8294,65550.0,string,65536
275,Mon Jun 19 2023 19:33:37,75.8896,65550.0,string,65536
282,Wed Jun 21 2023 02:10:59,55.8252,65550.0,string,65536
289,Wed Jun 21 2023 02:21:52,54.9154,65550.0,string,65536
296,Wed Jun 21 2023 02:22:11,107.9432,65550.0,string,65536
303,Wed Jun 21 2023 02:22:46,96.8683,65550.0,string,65536
310,Wed Jun 21 2023 02:23:06,175.6544,65550.0,string,65536
317,Wed Jun 21 2023 02:23:38,121.7597,65550.0,string,65536
324,Wed Jun 21 2023 02:23:58,107.4626,65550.0,string,65536
331,Wed Jun 21 2023 02:24:30,93.0324,65550.0,string,65536
3,Mon Jun 19 2023 19:28:45,287.1332,262158.0,string,262144
10,Mon Jun 19 2023 19:30:44,76.8902,262158.0,string,262144
17,Mon Jun 19 2023 19:31:57,192.2391,262158.0,string,262144
24,Mon Jun 19 2023 19:32:17,48.207,262158.0,string,262144
31,Mon Jun 19 2023 19:32:50,259.2944,262158.0,string,262144
38,Mon Jun 19 2023 19:33:05,103.1031,262158.0,string,262144
45,Mon Jun 19 2023 19:33:37,187.8392,262158.0,string,262144
52,Mon Jun 19 2023 19:33:55,52.547,262158.0,string,262144
59,Wed Jun 21 2023 02:11:00,314.4118,262158.0,string,262144
66,Wed Jun 21 2023 02:12:23,49.7416,262158.0,string,262144
73,Wed Jun 21 2023 02:22:11,171.4457,262158.0,string,262144
80,Wed Jun 21 2023 02:22:29,56.4295,262158.0,string,262144
87,Wed Jun 21 2023 02:23:06,185.082,262158.0,string,262144
94,Wed Jun 21 2023 02:23:23,61.9068,262158.0,string,262144
101,Wed Jun 21 2023 02:23:58,191.7301,262158.0,string,262144
108,Wed Jun 21 2023 02:24:14,47.4659,262158.0,string,262144
115,Mon Jun 19 2023 18:28:33,151.5903,262158.0,string,262144
122,Mon Jun 19 2023 18:31:27,352.0569,262158.0,string,262144
129,Mon Jun 19 2023 18:31:44,149.0992,262158.0,string,262144
136,Mon Jun 19 2023 18:32:17,177.2946,262158.0,string,262144
143,Mon Jun 19 2023 18:32:35,158.2734,262158.0,string,262144
150,Mon Jun 19 2023 18:33:06,208.5597,262158.0,string,262144
157,Mon Jun 19 2023 18:33:24,152.5752,262158.0,string,262144
164,Mon Jun 19 2023 18:33:55,194.1578,262158.0,string,262144
178,Wed Jun 21 2023 01:21:52,275.2121,262158.0,string,262144
185,Wed Jun 21 2023 01:22:30,220.3594,262158.0,string,262144
192,Wed Jun 21 2023 01:22:46,152.1036,262158.0,string,262144
199,Wed Jun 21 2023 01:23:24,209.0978,262158.0,string,262144
206,Wed Jun 21 2023 01:23:38,154.9779,262158.0,string,262144
213,Wed Jun 21 2023 01:24:15,220.522,262158.0,string,262144
220,Wed Jun 21 2023 01:24:30,148.4765,262158.0,string,262144
227,Mon Jun 19 2023 19:28:32,64.8331,262158.0,string,262144
234,Mon Jun 19 2023 19:28:45,214.7987,262158.0,string,262144
241,Mon Jun 19 2023 19:31:43,86.4767,262158.0,string,262144
248,Mon Jun 19 2023 19:31:57,484.7686,262158.0,string,262144
255,Mon Jun 19 2023 19:32:35,136.1987,262158.0,string,262144
262,Mon Jun 19 2023 19:32:50,271.9214,262158.0,string,262144
269,Mon Jun 19 2023 19:33:24,92.0004,262158.0,string,262144
276,Mon Jun 19 2023 19:33:38,79.1745,262158.0,string,262144
283,Wed Jun 21 2023 02:11:00,129.4241,262158.0,string,262144
290,Wed Jun 21 2023 02:21:52,70.8179,262158.0,string,262144
297,Wed Jun 21 2023 02:22:11,227.4613,262158.0,string,262144
304,Wed Jun 21 2023 02:22:46,152.7758,262158.0,string,262144
311,Wed Jun 21 2023 02:23:06,249.9434,262158.0,string,262144
318,Wed Jun 21 2023 02:23:39,121.6417,262158.0,string,262144
325,Wed Jun 21 2023 02:23:58,79.3523,262158.0,string,262144
332,Wed Jun 21 2023 02:24:30,84.0518,262158.0,string,262144
4,Mon Jun 19 2023 19:28:46,497.1962,1048832.0,string,1048576
11,Mon Jun 19 2023 19:30:44,154.756,1048832.0,string,1048576
18,Mon Jun 19 2023 19:31:57,218.2277,1048832.0,string,1048576
25,Mon Jun 19 2023 19:32:17,144.5916,1048832.0,string,1048576
32,Mon Jun 19 2023 19:32:51,191.7223,1048832.0,string,1048576
39,Mon Jun 19 2023 19:33:05,138.5696,1048832.0,string,1048576
46,Mon Jun 19 2023 19:33:38,316.1115,1048832.0,string,1048576
53,Mon Jun 19 2023 19:33:55,158.7765,1048832.0,string,1048576
