index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
0,Mon Jun 19 2023 18:25:33,305.9461,4107,string,4096
7,Mon Jun 19 2023 18:25:58,66.86,4107,string,4096
14,Mon Jun 19 2023 18:26:31,249.9648,4107,string,4096
21,Mon Jun 19 2023 18:26:55,102.2284,4107,string,4096
28,Mon Jun 19 2023 18:27:29,193.0053,4107,string,4096
35,Mon Jun 19 2023 18:27:51,84.3656,4107,string,4096
42,Mon Jun 19 2023 18:28:26,230.0649,4107,string,4096
49,Mon Jun 19 2023 18:28:53,100.2003,4107,string,4096
56,Tue Jun 20 2023 23:59:33,295.7823,4107,string,4096
63,Tue Jun 20 2023 23:59:52,204.8011,4107,string,4096
70,Wed Jun 21 2023 00:00:22,226.0336,4107,string,4096
77,Wed Jun 21 2023 00:00:41,101.1247,4107,string,4096
84,Wed Jun 21 2023 00:01:12,455.6736,4107,string,4096
91,Wed Jun 21 2023 00:01:23,71.7248,4107,string,4096
98,Wed Jun 21 2023 00:01:53,408.436,4107,string,4096
105,Wed Jun 21 2023 00:02:12,98.9662,4107,string,4096
112,Mon Jun 19 2023 17:25:14,143.3427,4107,string,4096
119,Mon Jun 19 2023 17:25:58,142.9042,4107,string,4096
126,Mon Jun 19 2023 17:26:12,158.7899,4107,string,4096
133,Mon Jun 19 2023 17:26:55,148.3692,4107,string,4096
140,Mon Jun 19 2023 17:27:10,150.518,4107,string,4096
147,Mon Jun 19 2023 17:27:52,147.071,4107,string,4096
154,Mon Jun 19 2023 17:28:06,149.8931,4107,string,4096
161,Mon Jun 19 2023 17:28:53,141.3121,4107,string,4096
168,Tue Jun 20 2023 22:59:53,280.2157,4107,string,4096
175,Tue Jun 20 2023 23:00:02,140.1902,4107,string,4096
182,Tue Jun 20 2023 23:00:41,188.3782,4107,string,4096
189,Tue Jun 20 2023 23:00:50,161.3164,4107,string,4096
196,Tue Jun 20 2023 23:01:23,158.9095,4107,string,4096
203,Tue Jun 20 2023 23:01:32,142.9816,4107,string,4096
210,Tue Jun 20 2023 23:02:12,151.9172,4107,string,4096
217,Tue Jun 20 2023 23:02:21,139.7301,4107,string,4096
224,Mon Jun 19 2023 18:25:14,259.5569,4107,string,4096
231,Mon Jun 19 2023 18:25:33,290.6003,4107,string,4096
238,Mon Jun 19 2023 18:26:12,233.2432,4107,string,4096
245,Mon Jun 19 2023 18:26:31,296.7381,4107,string,4096
252,Mon Jun 19 2023 18:27:10,402.2383,4107,string,4096
259,Mon Jun 19 2023 18:27:29,359.1628,4107,string,4096
266,Mon Jun 19 2023 18:28:07,320.579,4107,string,4096
273,Mon Jun 19 2023 18:28:26,342.8048,4107,string,4096
280,Tue Jun 20 2023 23:59:33,425.6213,4107,string,4096
287,Wed Jun 21 2023 00:00:02,153.1317,4107,string,4096
294,Wed Jun 21 2023 00:00:22,311.6834,4107,string,4096
301,Wed Jun 21 2023 00:00:51,1040.0434,4107,string,4096
308,Wed Jun 21 2023 00:01:12,519.693,4107,string,4096
315,Wed Jun 21 2023 00:01:32,189.6145,4107,string,4096
322,Wed Jun 21 2023 00:01:53,515.966,4107,string,4096
329,Wed Jun 21 2023 00:02:21,126.7627,4107,string,4096
1,Mon Jun 19 2023 18:25:33,167.8278,16398,string,16384
8,Mon Jun 19 2023 18:25:58,24.3278,16398,string,16384
15,Mon Jun 19 2023 18:26:31,154.13,16398,string,16384
22,Mon Jun 19 2023 18:26:55,29.587,16398,string,16384
29,Mon Jun 19 2023 18:27:29,210.5696,16398,string,16384
36,Mon Jun 19 2023 18:27:51,28.6315,16398,string,16384
43,Mon Jun 19 2023 18:28:26,158.9544,16398,string,16384
50,Mon Jun 19 2023 18:28:53,24.8829,16398,string,16384
57,Tue Jun 20 2023 23:59:33,168.5495,16398,string,16384
64,Tue Jun 20 2023 23:59:53,27.7571,16398,string,16384
71,Wed Jun 21 2023 00:00:22,154.8037,16398,string,16384
78,Wed Jun 21 2023 00:00:41,104.79,16398,string,16384
85,Wed Jun 21 2023 00:01:12,149.2709,16398,string,16384
92,Wed Jun 21 2023 00:01:23,28.6471,16398,string,16384
99,Wed Jun 21 2023 00:01:53,164.3363,16398,string,16384
106,Wed Jun 21 2023 00:02:12,76.2436,16398,string,16384
113,Mon Jun 19 2023 17:25:14,141.8112,16398,string,16384
120,Mon Jun 19 2023 17:25:58,147.8024,16398,string,16384
127,Mon Jun 19 2023 17:26:12,138.3956,16398,string,16384
134,Mon Jun 19 2023 17:26:55,158.6587,16398,string,16384
141,Mon Jun 19 2023 17:27:10,144.7013,16398,string,16384
148,Mon Jun 19 2023 17:27:52,161.3747,16398,string,16384
155,Mon Jun 19 2023 17:28:07,143.8033,16398,string,16384
162,Mon Jun 19 2023 17:28:53,135.5732,16398,string,16384
169,Tue Jun 20 2023 22:59:53,138.0551,16398,string,16384
176,Tue Jun 20 2023 23:00:02,138.259,16398,string,16384
183,Tue Jun 20 2023 23:00:41,165.5746,16398,string,16384
190,Tue Jun 20 2023 23:00:50,142.1615,16398,string,16384
197,Tue Jun 20 2023 23:01:23,141.9631,16398,string,16384
204,Tue Jun 20 2023 23:01:32,145.8772,16398,string,16384
211,Tue Jun 20 2023 23:02:12,138.8869,16398,string,16384
