index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
35,Mon Jun 19 2023 18:46:31,1205.728,4107.0,string,4096
42,Mon Jun 19 2023 18:48:15,7029.7075,4107.0,string,4096
49,Mon Jun 19 2023 18:51:51,1268.4221,4107.0,string,4096
147,Mon Jun 19 2023 17:46:31,1268.8551,4107.0,string,4096
161,Mon Jun 19 2023 17:51:51,1370.2596,4107.0,string,4096
203,Tue Jun 20 2023 23:36:01,15477.9499,4107.0,string,4096
287,Wed Jun 21 2023 00:15:49,1496.5802,4107.0,string,4096
232,Mon Jun 19 2023 18:30:24,6995.7104,16398.0,string,16384
239,Mon Jun 19 2023 18:33:03,13551.6121,16398.0,string,16384
65,Wed Jun 21 2023 00:06:00,19817.7669,65550.0,string,65536
177,Tue Jun 20 2023 23:17:52,3940.7086,65550.0,string,65536
192,Tue Jun 20 2023 23:25:21,28993.7721,262158.0,string,262144
199,Tue Jun 20 2023 23:33:29,14465.0473,262158.0,string,262144
234,Mon Jun 19 2023 18:30:35,8417.1937,262158.0,string,262144
241,Mon Jun 19 2023 18:33:33,29660.147,262158.0,string,262144
159,Mon Jun 19 2023 17:47:49,10200.1973,4195305.0,string,4194304
271,Mon Jun 19 2023 18:47:51,11837.4214,4195305.0,string,4194304
334,Wed Jun 21 2023 00:41:28,26131.561,4195305.0,string,4194304
104,Wed Jun 21 2023 00:38:22,25448.0292,16781194.0,string,16777216
