index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
119,Mon Jun 19 2023 18:31:25,1601.6657,4107.0,string,4096
232,Mon Jun 19 2023 19:28:45,307.8645,16398.0,string,16384
281,Wed Jun 21 2023 02:10:59,388.8224,16398.0,string,16384
248,Mon Jun 19 2023 19:31:57,484.7686,262158.0,string,262144
249,Mon Jun 19 2023 19:31:59,1296.7103,1048832.0,string,1048576
277,Mon Jun 19 2023 19:33:39,775.4128,1048832.0,string,1048576
298,Wed Jun 21 2023 02:22:12,708.2363,1048832.0,string,1048576
312,Wed Jun 21 2023 02:23:08,752.316,1048832.0,string,1048576
187,Wed Jun 21 2023 01:22:33,1568.8111,4195305.0,string,4194304
250,Mon Jun 19 2023 19:32:02,2811.8016,4195305.0,string,4194304
264,Mon Jun 19 2023 19:32:53,1535.9785,4195305.0,string,4194304
278,Mon Jun 19 2023 19:33:41,1995.7708,4195305.0,string,4194304
299,Wed Jun 21 2023 02:22:14,1926.0509,4195305.0,string,4194304
313,Wed Jun 21 2023 02:23:10,1876.3087,4195305.0,string,4194304
327,Wed Jun 21 2023 02:24:01,1616.1608,4195305.0,string,4194304
188,Wed Jun 21 2023 01:22:38,4472.1377,16781194.0,string,16777216
202,Wed Jun 21 2023 01:23:30,3839.0832,16781194.0,string,16777216
251,Mon Jun 19 2023 19:32:09,6313.6059,16781194.0,string,16777216
265,Mon Jun 19 2023 19:32:58,4604.7312,16781194.0,string,16777216
279,Mon Jun 19 2023 19:33:47,5342.6175,16781194.0,string,16777216
300,Wed Jun 21 2023 02:22:21,6796.9095,16781194.0,string,16777216
314,Wed Jun 21 2023 02:23:15,5318.4432,16781194.0,string,16777216
328,Wed Jun 21 2023 02:24:06,4791.4514,16781194.0,string,16777216
