index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
301,Wed Jun 21 2023 00:00:51,1040.0434,4107,string,4096
8,Mon Jun 19 2023 18:25:58,24.3278,16398,string,16384
22,Mon Jun 19 2023 18:26:55,29.587,16398,string,16384
29,Mon Jun 19 2023 18:27:29,210.5696,16398,string,16384
36,Mon Jun 19 2023 18:27:51,28.6315,16398,string,16384
50,Mon Jun 19 2023 18:28:53,24.8829,16398,string,16384
64,Tue Jun 20 2023 23:59:53,27.7571,16398,string,16384
92,Wed Jun 21 2023 00:01:23,28.6471,16398,string,16384
106,Wed Jun 21 2023 00:02:12,76.2436,16398,string,16384
232,Mon Jun 19 2023 18:25:35,1439.658,16398,string,16384
239,Mon Jun 19 2023 18:26:13,217.2136,16398,string,16384
246,Mon Jun 19 2023 18:26:32,349.0633,16398,string,16384
253,Mon Jun 19 2023 18:27:10,235.3815,16398,string,16384
267,Mon Jun 19 2023 18:28:07,221.5336,16398,string,16384
274,Mon Jun 19 2023 18:28:26,288.2296,16398,string,16384
316,Wed Jun 21 2023 00:01:32,210.1998,16398,string,16384
9,Mon Jun 19 2023 18:25:58,29.8512,65550,string,65536
23,Mon Jun 19 2023 18:26:55,33.4899,65550,string,65536
37,Mon Jun 19 2023 18:27:51,40.2431,65550,string,65536
51,Mon Jun 19 2023 18:28:53,28.9986,65550,string,65536
65,Tue Jun 20 2023 23:59:53,32.9445,65550,string,65536
93,Wed Jun 21 2023 00:01:23,32.0004,65550,string,65536
240,Mon Jun 19 2023 18:26:13,293.9852,65550,string,65536
261,Mon Jun 19 2023 18:27:29,321.644,65550,string,65536
24,Mon Jun 19 2023 18:26:55,52.2574,262158,string,262144
94,Wed Jun 21 2023 00:01:23,52.6569,262158,string,262144
283,Tue Jun 20 2023 23:59:34,321.6636,262158,string,262144
304,Wed Jun 21 2023 00:00:51,355.0998,262158,string,262144
278,Mon Jun 19 2023 18:28:31,2929.0293,4195305,string,4194304
334,Wed Jun 21 2023 00:02:25,2959.5396,4195305,string,4194304
279,Mon Jun 19 2023 18:28:41,9941.5897,16781194,string,16777216
