index,Retrieval Time (ms),Size (Bytes)
0,502.4767,4096
7,95.9562,4096
14,175.7415,4096
21,291.7453,4096
28,149.6672,4096
35,1205.728,4096
42,7029.7075,4096
49,1268.4221,4096
56,211.0229,4096
63,93.6892,4096
70,236.9024,4096
77,77.3406,4096
84,254.4379,4096
91,142.1693,4096
98,316.0871,4096
105,131.6715,4096
8,1298.3006,16384
15,152.6255,16384
22,1394.61,16384
29,149.5019,16384
36,1565.5741,16384
43,102.3104,16384
50,1266.3509,16384
57,185.6504,16384
64,133.2722,16384
71,151.0113,16384
78,1102.3426,16384
85,165.305,16384
92,169.8376,16384
99,158.9664,16384
106,147.1516,16384
2,287.7785,65536
9,156.0629,65536
16,260.9426,65536
23,1697.5876,65536
30,269.6958,65536
37,1233.6672,65536
51,1304.8069,65536
58,230.6317,65536
65,19817.7669,65536
79,32.0511,65536
93,1451.476,65536
107,1758.1348,65536
3,377.3345,262144
10,1490.9057,262144
17,295.8386,262144
24,1202.4456,262144
31,284.0764,262144
38,1361.0937,262144
45,118.4604,262144
52,64.2889,262144
59,359.6463,262144
66,1398.1322,262144
73,382.5777,262144
80,1918.6026,262144
87,424.2777,262144
94,178.3998,262144
101,423.6875,262144
108,1371.0684,262144
11,1563.0616,1048576
18,3596.9537,1048576
25,1445.7341,1048576
32,2523.1574,1048576
39,287.2794,1048576
46,185.368,1048576
60,3125.5981,1048576
67,1831.0028,1048576
74,2545.7614,1048576
81,1185.6851,1048576
88,345.1149,1048576
95,2493.7848,1048576
102,2467.1192,1048576
109,179.1,1048576
5,477.8754,4194304
12,595.7956,4194304
19,756.3047,4194304
26,673.0466,4194304
33,459.2275,4194304
40,1635.0263,4194304
47,511.6373,4194304
54,1879.0119,4194304
61,703.4983,4194304
68,571.7713,4194304
75,879.3933,4194304
82,473.115,4194304
89,3252.6303,4194304
96,2050.3043,4194304
103,477.7357,4194304
110,1909.2701,4194304
6,1851.2344,16777216
13,3422.1172,16777216
20,1663.7086,16777216
27,3311.7948,16777216
34,1629.4648,16777216
41,3359.2139,16777216
48,1637.5036,16777216
55,3651.1156,16777216
69,1887.4778,16777216
76,1593.0934,16777216
83,14322.3175,16777216
90,1366.7404,16777216
97,2046.8762,16777216
104,25448.0292,16777216
111,16516.2836,16777216
