index,Retrieval Time (ms),Size (Bytes)
0,149.4983,4096
7,139.0921,4096
14,143.6758,4096
21,141.479,4096
28,146.7196,4096
35,1268.8551,4096
42,146.4595,4096
49,1370.2596,4096
70,154.9708,4096
77,136.1958,4096
91,15477.9499,4096
105,144.9597,4096
1,375.5145,16384
8,1440.6744,16384
15,142.1156,16384
22,1355.9162,16384
29,1253.1112,16384
36,1520.1376,16384
43,372.1704,16384
50,1681.1327,16384
71,1095.7823,16384
92,177.2225,16384
99,1695.1254,16384
106,147.3578,16384
2,2113.2861,65536
9,2454.3613,65536
16,1661.0762,65536
23,1679.3757,65536
30,1502.0377,65536
37,1270.6937,65536
44,2353.4878,65536
51,1522.5857,65536
65,3940.7086,65536
72,206.2856,65536
93,281.4708,65536
100,227.9002,65536
3,1615.7677,262144
10,1637.6013,262144
17,1551.1376,262144
24,1466.3147,262144
31,1541.3511,262144
38,1475.4071,262144
45,1473.7453,262144
52,1672.6257,262144
66,285.9155,262144
73,1881.0313,262144
80,28993.7721,262144
87,14465.0473,262144
94,595.2783,262144
101,293.0079,262144
4,1935.3223,1048576
11,1966.2558,1048576
18,1724.3394,1048576
25,1519.2464,1048576
32,1881.4351,1048576
39,315.1078,1048576
46,1751.5877,1048576
67,328.6127,1048576
74,1084.778,1048576
81,386.981,1048576
88,5602.9299,1048576
95,1343.1801,1048576
102,337.09,1048576
5,1168.1024,4194304
12,2260.2098,4194304
19,435.1782,4194304
26,475.6427,4194304
33,2071.1343,4194304
40,1458.8244,4194304
47,10200.1973,4194304
54,2131.2458,4194304
68,600.5649,4194304
75,398.5,4194304
82,620.429,4194304
89,4957.1292,4194304
96,3706.5675,4194304
103,429.2639,4194304
6,12044.0351,16777216
13,3810.5528,16777216
20,2213.5362,16777216
27,3167.5329,16777216
34,2647.895,16777216
41,3268.1683,16777216
48,2647.0808,16777216
55,3707.8372,16777216
69,2160.6213,16777216
76,14299.4812,16777216
83,2160.6487,16777216
97,8825.4125,16777216
104,1145.0616,16777216
111,17455.8776,16777216
