index,Retrieval Time (ms),Size (Bytes)
0,248.8899,4096
7,443.1998,4096
14,438.1742,4096
21,334.0332,4096
28,234.0992,4096
35,416.1481,4096
42,189.4668,4096
49,402.6774,4096
56,414.1067,4096
63,1496.5802,4096
70,333.6117,4096
77,361.4392,4096
84,192.6878,4096
91,116.625,4096
98,297.9611,4096
105,120.4132,4096
1,205.9735,16384
8,6995.7104,16384
15,13551.6121,16384
29,1349.7341,16384
43,238.108,16384
50,306.2318,16384
57,125.3548,16384
64,1353.4931,16384
71,242.3332,16384
78,86.3517,16384
85,356.2202,16384
92,215.9902,16384
99,1266.8607,16384
106,2652.8853,16384
2,2420.1772,65536
9,2753.4534,65536
16,358.9699,65536
23,360.5228,65536
30,1210.2587,65536
44,2312.6108,65536
51,395.6701,65536
58,124.8222,65536
65,1272.3834,65536
79,120.1838,65536
93,1370.191,65536
107,66.923,65536
3,1983.1148,262144
10,8417.1937,262144
17,29660.147,262144
31,1687.5562,262144
45,1649.6515,262144
52,426.1251,262144
59,329.3573,262144
66,1401.8765,262144
73,261.8427,262144
80,189.1895,262144
94,111.1384,262144
108,1569.5774,262144
4,2583.1279,1048576
11,3621.7891,1048576
18,1808.2102,1048576
25,4078.8412,1048576
32,1992.6625,1048576
39,3631.7127,1048576
46,2049.387,1048576
53,3726.8375,1048576
60,2923.0356,1048576
67,637.0086,1048576
74,2733.979,1048576
81,256.8347,1048576
88,395.6234,1048576
95,1710.1279,1048576
102,428.1865,1048576
109,529.2254,1048576
5,2963.1312,4194304
12,1577.38,4194304
19,2524.3403,4194304
26,2301.3977,4194304
33,3333.3764,4194304
40,4678.8543,4194304
47,11837.4214,4194304
54,1700.462,4194304
61,2354.0409,4194304
68,2530.9537,4194304
75,736.8078,4194304
82,675.8854,4194304
89,1398.4838,4194304
96,2535.9591,4194304
103,1551.2048,4194304
110,26131.561,4194304
6,8904.717,16777216
13,8690.1546,16777216
20,9429.2109,16777216
27,9322.2203,16777216
34,12541.9603,16777216
41,7839.9206,16777216
48,7112.1529,16777216
69,6160.3651,16777216
76,3772.1333,16777216
83,3830.171,16777216
90,3793.0887,16777216
97,6364.1064,16777216
104,2257.1716,16777216
111,3039.6071,16777216
