index,Retrieval Time (ms),Size (Bytes)
0,222.0847,4096
7,1103.6681,4096
21,103.8556,4096
35,1069.0263,4096
42,204.1995,4096
49,3102.023,4096
56,297.4326,4096
70,250.2743,4096
77,1705.1121,4096
84,192.0847,4096
91,1737.5138,4096
98,210.9635,4096
105,302.8695,4096
8,126.8215,16384
29,170.0018,16384
36,26.4428,16384
50,128.3719,16384
57,201.6985,16384
64,155.7779,16384
71,172.9168,16384
78,34.7486,16384
85,168.7083,16384
99,167.0949,16384
9,1063.0215,65536
16,254.0203,65536
23,139.2065,65536
30,250.8164,65536
37,1314.8006,65536
51,1321.9894,65536
58,255.0683,65536
65,1436.4077,65536
72,266.6817,65536
79,1338.6447,65536
93,134.6744,65536
107,1290.6233,65536
3,373.0168,262144
10,158.8298,262144
31,297.7738,262144
38,150.081,262144
45,372.8193,262144
52,193.9145,262144
59,300.6619,262144
66,199.0142,262144
73,314.759,262144
80,47.7221,262144
87,359.8756,262144
101,384.4313,262144
108,59.8985,262144
18,2881.9337,1048576
25,1361.906,1048576
32,2377.3268,1048576
39,1776.9044,1048576
53,1986.9663,1048576
60,2690.4065,1048576
67,1190.0593,1048576
74,2504.1627,1048576
81,2059.2853,1048576
88,2778.18,1048576
95,255.1538,1048576
102,2522.4723,1048576
109,1388.3442,1048576
5,3177.8656,4194304
12,697.1784,4194304
26,1779.7372,4194304
33,522.4545,4194304
40,588.2544,4194304
47,3024.6225,4194304
54,575.4474,4194304
61,478.9836,4194304
68,593.1743,4194304
82,623.9149,4194304
89,499.3103,4194304
96,1924.36,4194304
103,450.2512,4194304
110,1753.7766,4194304
13,3042.4262,16777216
20,2356.5156,16777216
27,1949.1337,16777216
34,1895.4959,16777216
41,3298.5115,16777216
48,1475.8837,16777216
55,3282.6285,16777216
62,3540.3608,16777216
69,5133.6897,16777216
76,2304.0614,16777216
83,2761.7578,16777216
90,1417.8691,16777216
97,2131.197,16777216
111,3029.0718,16777216
