index,Retrieval Time (ms),Size (Bytes)
0,148.4207,4096
14,377.2374,4096
28,180.3453,4096
42,102.3204,4096
56,274.1967,4096
63,114.4157,4096
70,321.442,4096
77,130.5129,4096
84,207.3968,4096
98,181.1148,4096
105,121.1101,4096
1,163.4718,16384
15,1832.5412,16384
29,200.6281,16384
36,149.565,16384
64,178.4717,16384
78,86.1986,16384
92,1539.8165,16384
99,285.6423,16384
106,62.0753,16384
2,1601.9323,65536
16,1450.0449,65536
23,205.997,65536
30,15720.9223,65536
37,195.738,65536
44,80.421,65536
65,8358.8249,65536
72,975.5591,65536
79,1520.1005,65536
93,11564.9573,65536
107,1789.4376,65536
3,2062.9522,262144
17,1428.7713,262144
45,1620.3236,262144
66,1625.0633,262144
80,1959.8056,262144
94,1502.8008,262144
108,1150.7176,262144
4,423.9785,1048576
11,4179.5559,1048576
18,2178.5722,1048576
25,2941.291,1048576
32,1963.1259,1048576
39,2982.1384,1048576
46,494.9715,1048576
53,2971.4569,1048576
60,2951.976,1048576
67,1710.0783,1048576
74,2994.723,1048576
81,1591.6083,1048576
88,3535.1067,1048576
95,241.3069,1048576
102,3363.1089,1048576
109,1809.9725,1048576
5,2876.9679,4194304
19,2989.2744,4194304
33,2454.2479,4194304
47,2468.4072,4194304
61,4050.3327,4194304
68,2438.7674,4194304
75,1123.3957,4194304
82,2118.2386,4194304
89,3306.6837,4194304
96,2353.8762,4194304
110,2355.5731,4194304
6,7884.6514,16777216
20,7824.9505,16777216
34,5959.8196,16777216
48,3747.6879,16777216
62,4644.2087,16777216
69,4578.5365,16777216
83,5443.8816,16777216
97,3485.7844,16777216
