index,Retrieval Time (ms),Size (Bytes)
0,298.5863,4096
7,95.8257,4096
14,266.1003,4096
21,84.6681,4096
28,222.6145,4096
35,78.03,4096
42,184.6922,4096
49,93.0785,4096
56,215.8514,4096
63,95.1543,4096
70,250.866,4096
77,79.545,4096
84,184.681,4096
91,80.0382,4096
98,228.8328,4096
105,72.8511,4096
1,192.2789,16384
8,24.9224,16384
15,153.7124,16384
22,31.4318,16384
29,160.0464,16384
36,25.7508,16384
43,177.942,16384
50,105.2202,16384
57,155.3855,16384
64,23.5464,16384
71,151.2458,16384
78,30.1105,16384
85,158.6467,16384
92,26.484,16384
99,160.3683,16384
106,27.9952,16384
2,256.7159,65536
9,30.7919,65536
16,151.7984,65536
23,79.7068,65536
30,167.4071,65536
37,34.3403,65536
44,182.0302,65536
51,43.8207,65536
58,242.2633,65536
65,31.5518,65536
72,148.9315,65536
79,81.7668,65536
86,165.6866,65536
93,57.166,65536
100,160.6347,65536
107,30.5194,65536
3,287.1332,262144
10,76.8902,262144
17,192.2391,262144
24,48.207,262144
31,259.2944,262144
38,103.1031,262144
45,187.8392,262144
52,52.547,262144
59,314.4118,262144
66,49.7416,262144
73,171.4457,262144
80,56.4295,262144
87,185.082,262144
94,61.9068,262144
101,191.7301,262144
108,47.4659,262144
4,497.1962,1048576
11,154.756,1048576
18,218.2277,1048576
25,144.5916,1048576
32,191.7223,1048576
39,138.5696,1048576
46,316.1115,1048576
53,158.7765,1048576
60,373.7027,1048576
67,171.1917,1048576
74,243.7096,1048576
81,145.2781,1048576
88,341.9981,1048576
95,148.0654,1048576
102,270.5204,1048576
109,192.0565,1048576
5,552.2216,4194304
12,527.5239,4194304
19,347.3894,4194304
26,520.5466,4194304
33,483.2624,4194304
40,469.7084,4194304
47,514.84,4194304
54,507.4495,4194304
61,483.0313,4194304
68,488.6641,4194304
75,457.1363,4194304
82,494.6024,4194304
89,751.0724,4194304
96,502.5248,4194304
103,792.3626,4194304
110,459.9694,4194304
6,1301.3381,16777216
13,1919.638,16777216
20,1403.5802,16777216
27,2449.208,16777216
34,1780.4773,16777216
41,2168.4089,16777216
48,1766.9738,16777216
55,2565.8907,16777216
62,1284.7228,16777216
69,1817.4565,16777216
76,2262.4297,16777216
83,2193.7844,16777216
90,2672.3169,16777216
97,2067.3044,16777216
104,2502.0972,16777216
111,1972.9981,16777216
