index,Retrieval Time (ms),Size (Bytes)
0,305.9461,4096
7,66.86,4096
14,249.9648,4096
21,102.2284,4096
28,193.0053,4096
35,84.3656,4096
42,230.0649,4096
49,100.2003,4096
56,295.7823,4096
63,204.8011,4096
70,226.0336,4096
77,101.1247,4096
84,455.6736,4096
91,71.7248,4096
98,408.436,4096
105,98.9662,4096
1,167.8278,16384
8,24.3278,16384
15,154.13,16384
22,29.587,16384
29,210.5696,16384
36,28.6315,16384
43,158.9544,16384
50,24.8829,16384
57,168.5495,16384
64,27.7571,16384
71,154.8037,16384
78,104.79,16384
85,149.2709,16384
92,28.6471,16384
99,164.3363,16384
106,76.2436,16384
2,240.7303,65536
9,29.8512,65536
16,174.7369,65536
23,33.4899,65536
30,205.6721,65536
37,40.2431,65536
44,191.7305,65536
51,28.9986,65536
58,239.7648,65536
65,32.9445,65536
72,152.5467,65536
79,158.0872,65536
86,177.2893,65536
93,32.0004,65536
100,152.7946,65536
107,76.7331,65536
3,298.8553,262144
10,61.9537,262144
17,157.2204,262144
24,52.2574,262144
31,295.7179,262144
38,61.04,262144
45,194.9697,262144
52,112.8004,262144
59,297.2053,262144
66,68.5506,262144
73,160.1541,262144
80,80.477,262144
87,183.6132,262144
94,52.6569,262144
101,169.5379,262144
108,60.5254,262144
4,391.6987,1048576
11,149.0523,1048576
18,237.0753,1048576
25,165.2065,1048576
32,410.2325,1048576
39,157.2905,1048576
46,318.6079,1048576
53,178.8926,1048576
60,338.7226,1048576
67,153.5214,1048576
74,206.3342,1048576
81,180.9377,1048576
88,250.2252,1048576
95,143.336,1048576
102,280.6073,1048576
109,146.7247,1048576
5,458.3854,4194304
12,458.8316,4194304
19,461.9584,4194304
26,512.4782,4194304
33,787.0301,4194304
40,490.4434,4194304
47,641.6188,4194304
54,595.915,4194304
61,451.9742,4194304
68,448.9098,4194304
75,386.4182,4194304
82,460.0523,4194304
89,431.1951,4194304
96,458.5934,4194304
103,529.7471,4194304
110,468.4458,4194304
6,1315.4252,16777216
13,1874.3781,16777216
20,1741.9062,16777216
27,1994.2717,16777216
34,2351.6501,16777216
41,1887.2839,16777216
48,2269.7643,16777216
55,1999.6478,16777216
62,1423.2721,16777216
69,1816.6536,16777216
76,1447.0742,16777216
83,1685.9272,16777216
90,1846.2137,16777216
97,1712.8464,16777216
104,1862.9922,16777216
111,1738.2655,16777216
