index,Retrieval Time (ms),Size (Bytes)
0,259.5569,4096
7,290.6003,4096
14,233.2432,4096
21,296.7381,4096
28,402.2383,4096
35,359.1628,4096
42,320.579,4096
49,342.8048,4096
56,425.6213,4096
63,153.1317,4096
70,311.6834,4096
77,1040.0434,4096
84,519.693,4096
91,189.6145,4096
98,515.966,4096
105,126.7627,4096
1,165.4508,16384
8,1439.658,16384
15,217.2136,16384
22,349.0633,16384
29,235.3815,16384
36,160.6685,16384
43,221.5336,16384
50,288.2296,16384
57,157.5349,16384
64,167.7479,16384
71,147.5148,16384
78,149.3866,16384
85,170.5072,16384
92,210.1998,16384
99,165.2911,16384
106,153.4685,16384
2,212.2001,65536
9,243.4701,65536
16,293.9852,65536
23,158.9869,65536
30,149.1163,65536
37,321.644,65536
44,231.7186,65536
51,133.6817,65536
58,221.6925,65536
65,151.082,65536
72,205.9774,65536
79,160.2,65536
86,174.5447,65536
93,169.7552,65536
100,126.5442,65536
107,146.202,65536
3,186.3947,262144
10,203.1333,262144
17,157.9094,262144
24,274.7572,262144
31,277.0686,262144
38,256.0299,262144
45,158.9261,262144
52,166.9922,262144
59,321.6636,262144
66,188.6698,262144
73,120.3944,262144
80,355.0998,262144
87,188.3379,262144
94,185.5784,262144
101,238.899,262144
108,149.1751,262144
4,554.4122,1048576
11,506.224,1048576
18,653.0348,1048576
25,551.5628,1048576
32,496.4911,1048576
39,743.781,1048576
46,609.313,1048576
53,779.5003,1048576
60,529.13,1048576
67,436.4644,1048576
74,393.1021,1048576
81,436.4252,1048576
88,349.031,1048576
95,433.6365,1048576
102,429.0414,1048576
109,433.1261,1048576
5,1810.5235,4194304
12,1523.766,4194304
19,1448.1709,4194304
26,1945.9355,4194304
33,1722.3012,4194304
40,2389.9161,4194304
47,2308.9078,4194304
54,2929.0293,4194304
61,1465.7426,4194304
68,1299.0253,4194304
75,1180.8267,4194304
82,1415.4766,4194304
89,662.7175,4194304
96,1454.3725,4194304
103,1291.1337,4194304
110,2959.5396,4194304
6,7389.8615,16777216
13,8406.3024,16777216
20,6877.2534,16777216
27,7512.0162,16777216
34,6889.4574,16777216
41,6757.1372,16777216
48,6999.8926,16777216
55,9941.5897,16777216
62,4705.7042,16777216
69,4336.958,16777216
76,6362.6729,16777216
83,4825.5925,16777216
90,2815.7918,16777216
97,4269.6347,16777216
104,5232.0783,16777216
111,5154.7559,16777216
